id;time;xs;ys;zs;ac;kurt
1;60985640494293;-9.69;-0.47;0.00;1.57;0.00
2;60985859778620;-9.69;-0.31;-0.22;1.59;0.00
3;60985879798151;-9.66;-0.22;-0.15;1.59;0.00
4;60985899787165;-9.71;-0.30;-0.23;1.59;0.00
5;60985919806696;-9.71;-0.43;-0.30;1.60;0.00
6;60985959815241;-9.71;-0.29;-0.29;1.60;0.00
7;60985979834772;-9.73;-0.22;-0.23;1.59;0.00
8;60985999884821;-9.63;-0.38;-0.21;1.59;0.00
9;60986019904352;-9.65;-0.28;-0.25;1.60;0.00
10;60986059973932;-9.66;-0.25;-0.17;1.59;0.00
11;60986079993463;-9.69;-0.30;-0.24;1.60;0.00
12;60986100012995;-9.73;-0.37;-0.23;1.59;0.00
13;60986120032526;-9.72;-0.25;-0.22;1.59;0.00
14;60986160041071;-9.67;-0.34;-0.26;1.60;0.00
15;60986180060602;-9.65;-0.24;-0.23;1.59;0.00
16;60986200080133;-9.62;-0.24;-0.21;1.59;0.00
17;60986260169245;-9.72;-0.34;-0.21;1.59;0.00
18;60986280127741;-9.73;-0.28;-0.22;1.59;0.00
19;60986300208307;-9.68;-0.30;-0.22;1.59;0.00
20;60986320197321;-9.65;-0.31;-0.25;1.60;0.00
21;60986340216852;-9.66;-0.34;-0.21;1.59;0.00
22;60986380286432;-9.66;-0.29;-0.16;1.59;0.00
23;60986400305963;-9.67;-0.33;-0.23;1.59;0.00
24;60986420325495;-9.69;-0.29;-0.20;1.59;0.00
25;60986440314508;-9.75;-0.24;-0.24;1.60;0.00
26;60986460273004;-9.73;-0.31;-0.19;1.59;0.00
27;60986480262018;-9.69;-0.31;-0.23;1.59;0.00
28;60986500281549;-9.70;-0.22;-0.16;1.59;0.00
29;60986540290094;-9.67;-0.30;-0.20;1.59;0.00
30;60986560279108;-9.74;-0.19;-0.21;1.59;0.00
31;60986580268122;-9.68;-0.26;-0.20;1.59;0.00
32;60986600287653;-9.70;-0.33;-0.20;1.59;0.00
33;60986620307184;-9.68;-0.38;-0.24;1.60;0.00
34;60986640326715;-9.65;-0.32;-0.18;1.59;0.00
35;60986660376764;-9.67;-0.32;-0.17;1.59;0.00
36;60986680396295;-9.65;-0.26;-0.24;1.60;0.00
37;60986720465875;-9.70;-0.36;-0.18;1.59;0.00
38;60986740424372;-9.70;-0.24;-0.20;1.59;0.00
39;60986760474420;-9.69;-0.31;-0.17;1.59;0.00
40;60986800513483;-9.69;-0.30;-0.24;1.60;0.00
41;60986820533014;-9.69;-0.30;-0.21;1.59;0.00
42;60986860602594;-9.71;-0.31;-0.19;1.59;0.00
43;60986880622125;-9.66;-0.26;-0.17;1.59;0.00
44;60986920661188;-9.70;-0.26;-0.16;1.59;0.00
45;60986940680719;-9.64;-0.32;-0.20;1.59;0.00
46;60986960700250;-9.73;-0.29;-0.19;1.59;0.00
47;60986980719782;-9.67;-0.30;-0.20;1.59;0.00
48;60987000769831;-9.63;-0.33;-0.26;1.60;0.00
49;60987020789362;-9.74;-0.32;-0.24;1.60;0.00
50;60987040839411;-9.71;-0.14;-0.18;1.59;0.00
51;60987060858942;-9.62;-0.46;-0.17;1.59;0.00
52;60987080878473;-9.67;-0.33;-0.21;1.59;0.00
53;60987120917536;-9.71;-0.48;-0.23;1.59;0.00
54;60987140967584;-9.71;-0.62;-0.25;1.60;0.00
55;60987160987116;-9.73;-0.26;-0.11;1.58;0.00
56;60987201056696;-9.71;-0.12;-0.20;1.59;0.00
57;60987241034723;-9.69;-0.25;-0.10;1.58;0.00
58;60987261054254;-9.67;-0.12;-0.14;1.59;0.00
59;60987301093317;-9.46;0.10;-0.74;1.65;0.00
60;60987321112848;-9.74;0.24;1.11;1.46;0.00
61;60987361121393;-9.92;-0.36;-1.08;1.68;0.00
62;60987381171442;-9.64;-0.62;0.78;1.49;0.00
63;60987401190973;-9.67;-0.20;-0.68;1.64;0.00
64;60987421210504;-9.70;-0.15;-0.40;1.61;0.00
65;60987441230036;-9.68;-0.49;0.04;1.57;0.00
66;60987461219049;-9.70;-0.37;-0.49;1.62;0.00
67;60987481208063;-9.67;-0.24;-0.17;1.59;0.00
68;60987501227594;-9.63;-0.11;-0.04;1.57;0.00
69;60987521247125;-9.64;-0.27;-0.20;1.59;0.00
70;60987541236139;-9.70;-0.53;-0.18;1.59;0.00
71;60987561255670;-9.70;-0.46;-0.30;1.60;0.00
72;60987581244684;-9.66;-0.24;-0.29;1.60;0.00
73;60987601294733;-9.69;-0.11;-0.20;1.59;0.00
74;60987621314264;-9.68;-0.22;-0.30;1.60;0.00
75;60987641333795;-9.73;-0.29;-0.26;1.60;0.00
76;60987661322809;-9.70;-0.18;-0.35;1.61;0.00
77;60987701422907;-9.64;-0.48;-0.21;1.59;0.00
78;60987721442438;-9.70;-0.28;-0.18;1.59;0.00
79;60987741492487;-9.73;-0.27;-0.27;1.60;0.00
80;60987781531549;-9.69;-0.32;-0.34;1.61;0.00
81;60987801551081;-9.70;-0.37;-0.28;1.60;0.00
82;60987821570612;-9.72;-0.23;-0.14;1.59;0.00
83;60987841590143;-9.70;-0.25;-0.19;1.59;0.00
84;60987861579157;-9.73;-0.42;-0.28;1.60;0.00
85;60987881598688;-9.68;-0.31;-0.28;1.60;0.00
86;60987901648737;-9.73;-0.40;-0.21;1.59;0.00
87;60987921668268;-9.56;-1.12;-0.07;1.58;0.00
88;60987941626764;-9.71;-0.50;-0.50;1.62;0.00
89;60987961646295;-9.70;0.12;-0.26;1.60;0.00
90;60987981635309;-9.73;-0.36;-0.32;1.60;0.00
91;60988001685358;-9.68;-0.82;-0.50;1.62;0.00
92;60988021704889;-9.67;-0.70;-0.07;1.58;0.00
93;60988041785456;-9.73;0.25;-0.21;1.59;0.00
94;60988061804987;-9.70;0.11;-0.41;1.61;0.00
95;60988081794000;-9.66;-0.78;-0.13;1.58;0.00
96;60988101844049;-9.71;-0.51;-0.36;1.61;0.00
97;60988121863581;-9.68;-0.04;-0.20;1.59;0.00
98;60988141883112;-9.67;-0.32;-0.13;1.58;0.00
99;60988161963678;-9.79;-0.88;-0.27;1.60;0.00
100;60988181983209;-9.64;-0.29;-0.17;1.59;0.00
101;60988202002741;-9.66;0.31;-0.30;1.60;0.00
102;60988222052790;-9.79;0.32;-0.06;1.58;0.00
103;60988242072321;-9.68;-0.31;-0.40;1.61;0.00
104;60988262091852;-9.74;0.31;-0.50;1.62;0.00
105;60988282111383;-9.68;0.06;0.04;1.57;0.00
106;60988302100397;-9.83;-0.96;-0.25;1.60;0.00
107;60988322058893;-9.83;-0.09;-0.07;1.58;0.00
108;60988342108942;-9.55;-0.16;-0.07;1.58;0.00
109;60988362128473;-9.62;-0.45;-0.42;1.61;0.00
110;60988382148004;-9.94;-0.11;-0.40;1.61;0.00
111;60988402167536;-9.75;-0.18;-0.20;1.59;0.00
112;60988422187067;-9.77;-0.23;-0.20;1.59;0.00
113;60988442206598;-9.91;-0.30;-0.44;1.62;0.00
114;60988462226129;-9.43;-0.90;0.09;1.56;0.00
115;60988482245661;-9.51;-0.43;-0.07;1.58;0.00
116;60988502234674;-9.78;0.08;-0.87;1.66;0.00
117;60988522284723;-9.64;-1.00;-0.36;1.61;0.00
118;60988542334772;-9.62;-0.18;-0.73;1.65;0.00
119;60988562323786;-9.56;-0.49;0.32;1.54;0.00
120;60988582373834;-9.58;-0.68;-0.94;1.67;0.00
121;60988602393366;-9.62;-0.26;-0.12;1.58;0.00
122;60988622412897;-9.76;-0.10;0.11;1.56;0.00
123;60988642401911;-9.92;0.05;-0.48;1.62;0.00
124;60988662390924;-9.67;0.65;0.21;1.55;0.00
125;60988682379938;-9.72;-1.14;0.17;1.55;0.00
126;60988722449518;-9.62;-0.74;0.11;1.56;0.00
127;60988742469049;-9.75;0.08;-0.34;1.61;0.00
128;60988762458063;-9.68;0.32;-0.04;1.57;0.00
129;60988782477594;-9.68;-0.43;-0.16;1.59;0.00
130;60988802497125;-9.78;0.42;-0.32;1.60;0.00
131;60988822577692;-9.71;-0.55;0.26;1.54;0.00
132;60988842597223;-9.72;-0.92;-0.46;1.62;0.00
133;60988862616754;-9.57;-0.01;-0.03;1.57;0.00
134;60988882636286;-9.83;-0.15;-0.06;1.58;0.00
135;60988902655817;-9.74;-0.28;-0.13;1.58;0.00
136;60988922675348;-9.68;-0.58;-0.00;1.57;0.00
137;60988942725397;-9.82;-0.18;-0.31;1.60;0.00
138;60988962744928;-9.52;0.83;0.25;1.54;0.00
139;60988982764459;-9.63;0.27;-0.22;1.59;0.00
140;60989002814508;-9.58;-1.30;0.13;1.56;0.00
141;60989022834040;-9.75;-0.56;-0.36;1.61;0.00
142;60989042884088;-9.56;0.39;-0.18;1.59;0.00
143;60989062903620;-9.66;0.54;-0.10;1.58;0.00
144;60989082953668;-9.76;-0.29;-0.36;1.61;0.00
145;60989102942682;-9.66;-1.18;0.00;1.57;0.00
146;60989122962213;-9.59;-0.03;-0.03;1.57;0.00
147;60989143012262;-9.77;0.79;-0.09;1.58;0.00
148;60989163001276;-9.84;0.36;0.07;1.56;0.00
149;60989183051325;-9.67;-1.01;-0.19;1.59;0.00
150;60989203040338;-9.53;-0.17;0.08;1.56;0.00
151;60989223090387;-9.82;0.27;-0.02;1.57;0.00
152;60989243140436;-9.74;0.59;-0.02;1.57;0.00
153;60989263159967;-9.61;-0.35;-0.24;1.60;0.00
154;60989283179499;-9.54;-0.61;-0.35;1.61;0.00
155;60989303199030;-9.74;0.10;0.22;1.55;0.00
156;60989323249079;-9.94;-0.04;-0.56;1.63;0.00
157;60989343238092;-9.83;-0.42;0.11;1.56;0.00
158;60989363257624;-9.63;-0.28;-0.02;1.57;0.00
159;60989383277155;-9.95;-1.06;-0.18;1.59;0.00
160;60989403327204;-9.58;0.36;0.01;1.57;0.00
161;60989423346735;-9.63;0.30;-0.47;1.62;0.00
162;60989443396784;-9.78;-0.87;0.26;1.54;0.00
163;60989463385797;-9.67;-0.06;-0.38;1.61;0.00
164;60989483435846;-9.54;0.15;0.06;1.56;0.00
165;60989503455377;-9.97;-0.36;0.09;1.56;0.00
166;60989523474909;-9.43;-0.45;-0.31;1.60;0.00
167;60989543524958;-9.75;-0.22;-0.16;1.59;0.00
168;60989563513971;-9.69;0.05;-0.40;1.61;0.00
169;60989583564020;-9.83;-0.24;0.27;1.54;0.00
170;60989603614069;-9.50;-0.01;0.05;1.57;0.00
171;60989623633600;-9.75;-0.07;-0.04;1.57;0.00
172;60989643653131;-9.79;-0.62;-0.53;1.62;0.00
173;60989663672663;-9.70;-0.32;0.01;1.57;0.00
174;60989683692194;-9.48;0.00;0.19;1.55;0.00
175;60989703711725;-9.59;-0.04;-0.42;1.61;0.00
176;60989723731256;-9.68;-0.26;0.26;1.54;0.00
177;60989743750788;-9.54;0.09;-0.52;1.63;0.00
178;60989763770319;-9.54;0.22;0.31;1.54;0.00
179;60989783789850;-10.03;-0.23;-0.23;1.59;0.00
180;60989803778864;-9.69;-0.70;0.04;1.57;0.00
181;60989823828913;-9.82;-0.11;-0.08;1.58;0.00
182;60989843817926;-9.90;-0.03;-0.54;1.63;0.00
183;60989863837458;-9.77;-0.63;0.39;1.53;0.00
184;60989883826471;-9.58;-0.22;-0.10;1.58;0.00
185;60989903876520;-9.54;0.14;-0.01;1.57;0.00
186;60989923896051;-9.66;-0.33;-0.53;1.63;0.00
187;60989943946100;-9.65;-0.04;-0.15;1.59;0.00
188;60989963965631;-9.72;0.12;0.39;1.53;0.00
189;60989983985163;-9.45;-0.26;0.05;1.57;0.00
190;60990004035211;-9.90;-1.04;0.38;1.53;0.00
191;60990024054743;-9.72;0.09;-0.80;1.65;0.00
192;60990044074274;-9.69;0.34;0.06;1.56;0.00
193;60990064093805;-9.64;-0.20;-0.68;1.64;0.00
194;60990084143854;-9.67;-0.66;0.38;1.53;0.00
195;60990104132868;-9.72;-0.10;-0.54;1.63;0.00
196;60990124182916;-9.74;-0.03;-0.27;1.60;0.00
197;60990144232965;-9.70;-0.47;-0.17;1.59;0.00
198;60990164252497;-9.71;0.12;1.01;1.47;0.00
199;60990184272028;-9.70;0.34;0.66;1.50;0.00
200;60990204322077;-9.66;0.14;-0.37;1.61;0.00
201;60990224341608;-9.66;-0.43;-0.23;1.59;0.00
202;60990244330622;-9.64;-0.36;-0.51;1.62;0.00
203;60990264350153;-9.66;-0.18;-0.15;1.59;0.00
204;60990284400202;-9.70;0.17;0.06;1.56;0.00
205;60990304419733;-9.63;-0.12;0.34;1.54;0.00
206;60990324408747;-9.70;-0.28;0.01;1.57;0.00
207;60990344428278;-9.77;-0.19;-0.40;1.61;0.00
208;60990364447809;-9.74;-0.07;-0.20;1.59;0.00
209;60990384467340;-9.67;-0.13;0.01;1.57;0.00
210;60990404517389;-9.74;-0.17;0.06;1.56;0.00
211;60990424567438;-9.69;-0.21;-0.11;1.58;0.00
212;60990444556452;-9.72;-0.01;-0.17;1.59;0.00
213;60990464575983;-9.73;-0.05;-0.00;1.57;0.00
214;60990484626032;-9.66;-0.17;-0.04;1.57;0.00
215;60990504615045;-9.69;-0.15;0.68;1.50;0.00
216;60990524665094;-9.67;-0.14;0.28;1.54;0.00
217;60990544684625;-9.67;-0.08;-0.58;1.63;0.00
218;60990564704157;-9.66;-0.34;-0.68;1.64;0.00
219;60990584723688;-9.71;-0.39;-0.14;1.59;0.00
220;60990604743219;-9.71;0.06;-0.98;1.67;0.00
221;60990624793268;-9.68;-0.18;0.13;1.56;0.00
222;60990644812799;-9.62;-0.02;-0.03;1.57;0.00
223;60990664832331;-9.63;-0.38;1.40;1.43;0.00
224;60990684821344;-9.72;-0.08;-0.00;1.57;0.00
225;60990704871393;-9.65;-0.06;-0.39;1.61;0.00
226;60990724860407;-9.66;-0.24;-0.57;1.63;0.00
227;60990744910456;-9.72;-0.22;-0.30;1.60;0.00
228;60990764960504;-9.67;0.01;0.20;1.55;0.00
229;60990784980036;-9.66;0.00;0.11;1.56;0.00
230;60990804999567;-9.62;-0.15;-0.01;1.57;0.00
231;60990825049616;-9.68;-0.17;-0.31;1.60;0.00
232;60990865088678;-9.70;-0.05;0.18;1.55;0.00
233;60990885108209;-9.73;0.10;-0.14;1.59;0.00
234;60990905097223;-9.68;-0.21;-0.15;1.59;0.00
235;60990925147272;-9.75;-0.34;-0.05;1.58;0.00
236;60990965186334;-9.77;-0.62;-0.17;1.59;0.00
237;60990985175348;-9.65;-1.32;0.03;1.57;0.00
