id;time;xs;ys;zs;ac;kurt
1;60643493518050;-9.65;-0.05;0.19;1.55;0.00
2;60643693682845;-9.28;0.66;0.72;1.49;0.00
3;60643713702376;-9.77;-0.86;0.48;1.52;0.00
4;60643753741439;-9.69;-0.56;-0.17;1.59;0.00
5;60643793780501;-10.22;-0.32;-1.10;1.68;0.00
6;60643813769515;-9.67;-0.04;-1.33;1.71;0.00
7;60643833758529;-9.93;-0.34;-1.59;1.73;0.00
8;60643853778060;-9.87;-0.58;-1.58;1.73;0.00
9;60643873797591;-9.61;-1.25;-3.01;1.87;0.00
10;60643893817122;-9.56;-1.22;-4.18;1.98;0.00
11;60643913806136;-9.75;-1.54;-4.16;1.97;0.00
12;60643933856185;-9.07;0.82;-2.86;1.88;0.00
13;60643973895247;-9.59;0.53;0.62;1.51;0.00
14;60643993914779;-9.55;-0.71;0.36;1.53;0.00
15;60644013934310;-9.92;-1.47;-2.58;1.82;0.00
16;60644053973372;-9.85;-0.62;-0.57;1.63;0.00
17;60644073992904;-9.47;0.04;-0.12;1.58;0.00
18;60644094042952;-10.02;-0.10;-1.15;1.69;0.00
19;60644114062484;-9.52;0.01;-2.52;1.83;0.00
20;60644134082015;-9.60;-0.16;-1.62;1.74;0.00
21;60644154132064;-9.58;-0.29;-1.27;1.70;0.00
22;60644174151595;-9.64;-2.30;-0.03;1.57;0.00
23;60644194201644;-9.47;-0.48;-0.76;1.65;0.00
24;60644214251693;-9.89;-0.31;-0.93;1.66;0.00
25;60644234271224;-9.65;-0.15;-0.69;1.64;0.00
26;60644254290755;-9.77;-0.97;-3.53;1.92;0.00
27;60644274310286;-9.65;0.08;-0.57;1.63;0.00
28;60644294329818;-9.53;-0.59;0.11;1.56;0.00
29;60644314349349;-9.55;-0.24;-1.19;1.69;0.00
30;60644334429915;-9.37;-0.25;-1.62;1.74;0.00
31;60644354449446;-9.58;-0.19;-1.31;1.71;0.00
32;60644374468978;-9.65;-0.23;-1.26;1.70;0.00
33;60644394549544;-9.65;-0.38;-0.03;1.57;0.00
34;60644414569075;-9.75;-1.50;-1.66;1.74;0.00
35;60644434619124;-9.67;-0.39;-1.14;1.69;0.00
36;60644454669173;-9.56;-0.20;-1.35;1.71;0.00
37;60644474688704;-9.78;-0.42;-2.27;1.80;0.00
38;60644494708236;-9.63;-0.16;-1.60;1.74;0.00
39;60644514727767;-9.67;-0.47;-2.00;1.77;0.00
40;60644534716780;-9.70;-0.87;-2.82;1.85;0.00
41;60644554766829;-9.73;-0.27;-3.01;1.87;0.00
42;60644574786361;-9.59;-0.04;-2.71;1.85;0.00
43;60644594805892;-11.19;1.88;2.95;1.32;0.00
44;60644614855941;-9.49;-0.75;1.67;1.40;0.00
45;60644634875472;-9.45;-0.53;6.67;0.96;0.00
46;60644654895003;-13.64;-2.68;-7.34;2.06;0.00
47;60644674914534;-11.08;-0.26;-1.05;1.67;0.00
48;60644694964583;-9.74;0.64;-2.41;1.81;0.00
49;60644714984114;-9.71;0.26;-2.25;1.80;0.00
50;60644735003646;-9.07;-0.14;0.78;1.49;0.00
51;60644755084212;-11.17;-2.33;-1.39;1.69;0.00
52;60644775103743;-9.33;-0.58;-0.14;1.59;0.00
53;60644795153792;-9.34;-0.44;-1.13;1.69;0.00
54;60644835192855;-9.77;-0.12;-1.15;1.69;0.00
55;60644855212386;-9.66;0.04;-0.83;1.66;0.00
56;60644875262435;-9.59;-0.21;-1.07;1.68;0.00
57;60644895281966;-9.70;-0.98;0.81;1.49;0.00
58;60644915301497;-9.63;-0.89;-0.98;1.67;0.00
59;60644935321029;-9.90;-1.60;-3.35;1.89;0.00
60;60644955310042;-8.77;0.28;-1.55;1.75;0.00
61;60644975268538;-9.71;0.54;-1.08;1.68;0.00
62;60645015338118;-8.99;1.87;1.30;1.43;0.00
63;60645035357650;-9.85;-0.21;-0.20;1.59;0.00
64;60645055377181;-9.80;-1.48;3.15;1.26;0.00
65;60645095385726;-9.93;0.45;1.21;1.45;0.00
66;60645115466292;-9.42;-0.07;0.31;1.54;0.00
67;60645135485823;-9.67;-0.39;-0.12;1.58;0.00
68;60645155505355;-9.72;-0.43;-0.73;1.65;0.00
69;60645175494368;-9.71;-0.80;-0.09;1.58;0.00
70;60645215502913;-9.74;-0.46;-0.83;1.66;0.00
71;60645235522445;-9.72;-0.35;-1.17;1.69;0.00
72;60645255572493;-9.68;-0.71;0.03;1.57;0.00
73;60645275592025;-9.74;-0.40;-0.01;1.57;0.00
74;60645315631087;-9.70;-0.04;-0.25;1.60;0.00
75;60645335681136;-9.74;-0.05;-0.62;1.63;0.00
76;60645375720198;-9.79;-0.47;0.25;1.55;0.00
77;60645395739730;-9.78;-0.37;-1.17;1.69;0.00
78;60645435748275;-9.84;-0.34;-1.06;1.68;0.00
79;60645455798323;-10.01;0.08;-0.02;1.57;0.00
80;60645495837386;-9.65;-0.14;-1.14;1.69;0.00
81;60645515856917;-9.46;-0.70;0.48;1.52;0.00
82;60645535845931;-7.98;-2.09;-2.35;1.85;0.00
83;60645555895980;-9.52;0.03;-1.23;1.70;0.00
84;60645575915511;-9.23;0.21;-1.58;1.74;0.00
85;60645595935042;-9.46;-0.09;-0.02;1.57;0.00
86;60645615954573;-9.81;0.48;1.04;1.47;0.00
87;60645635974105;-9.87;-0.52;-0.45;1.62;0.00
88;60645655993636;-9.62;-1.36;-0.53;1.63;0.00
89;60645676013167;-9.68;-0.77;-1.97;1.77;0.00
90;60645696032698;-9.63;-0.18;-1.22;1.70;0.00
91;60645716082747;-9.72;-0.03;-0.23;1.59;0.00
92;60645736102279;-9.69;0.00;-0.14;1.59;0.00
93;60645756152327;-9.75;-0.21;-0.54;1.63;0.00
94;60645776202376;-9.94;-0.68;-1.39;1.71;0.00
95;60645796221907;-9.70;-0.79;-0.50;1.62;0.00
96;60645816241439;-9.66;-0.55;-0.76;1.65;0.00
97;60645836291488;-9.61;-0.63;0.09;1.56;0.00
98;60645876300032;-9.66;-0.14;-1.18;1.69;0.00
99;60645896380599;-9.68;0.06;-1.28;1.70;0.00
100;60645916400130;-9.55;-0.11;-1.22;1.70;0.00
101;60645936419661;-9.65;-0.02;-0.25;1.60;0.00
102;60645956500228;-10.27;-0.75;-2.32;1.79;0.00
103;60645976519759;-9.55;-1.20;-0.05;1.58;0.00
104;60645996508773;-9.64;-0.61;-0.61;1.63;0.00
105;60646016589339;-9.62;0.01;-0.30;1.60;0.00
106;60646036608870;-9.77;0.35;0.05;1.57;0.00
