id;time;xs;ys;zs;ac;kurt
1;59544315564159;-9.70;0.03;-0.43;1.62;0.00
2;59544555920604;-9.71;-0.08;-0.18;1.59;0.00
3;59544595959667;-9.67;-0.11;-0.14;1.59;0.00
4;59544615948680;-9.70;-0.14;-0.07;1.58;0.00
5;59544635968212;-9.68;-0.06;-0.32;1.60;0.00
6;59544656048778;-9.70;-0.06;-0.32;1.60;0.00
7;59544676037792;-9.70;-0.11;-0.09;1.58;0.00
8;59544716107372;-9.70;-0.08;-0.29;1.60;0.00
9;59544736157421;-9.72;-0.15;-0.27;1.60;0.00
10;59544776257518;-9.67;-0.05;-0.32;1.60;0.00
11;59544796277050;-9.67;-0.10;-0.22;1.59;0.00
12;59544816296581;-9.69;-0.06;-0.19;1.59;0.00
13;59544896466259;-9.69;-0.06;-0.27;1.60;0.00
14;59544916485790;-9.70;-0.10;-0.39;1.61;0.00
15;59544936566356;-9.70;-0.10;-0.17;1.59;0.00
16;59544956646923;-9.67;-0.11;-0.20;1.59;0.00
17;59544976696972;-9.71;-0.09;-0.21;1.59;0.00
18;59544996716503;-9.72;-0.16;-0.26;1.60;0.00
19;59545016797069;-9.92;-0.71;-0.13;1.58;0.00
20;59545036816600;-9.71;0.22;-0.74;1.65;0.00
21;59545056836132;-9.65;0.24;-0.18;1.59;0.00
22;59545076886180;-9.72;0.15;0.32;1.54;0.00
23;59545096936229;-9.69;-0.03;-0.38;1.61;0.00
24;59545116955761;-9.74;0.05;-0.59;1.63;0.00
25;59545137036327;-9.69;-0.17;0.02;1.57;0.00
26;59545157055858;-9.67;0.02;0.34;1.54;0.00
27;59545177105907;-9.69;0.22;-0.49;1.62;0.00
28;59545197094921;-9.78;-0.38;-0.38;1.61;0.00
29;59545217144970;-9.67;-0.67;-0.20;1.59;0.00
30;59545237164501;-9.71;-0.08;-0.17;1.59;0.00
31;59545277234081;-9.67;0.35;-0.01;1.57;0.00
32;59545297253612;-9.69;0.33;-0.42;1.61;0.00
33;59545337323192;-9.71;-0.70;-0.53;1.63;0.00
34;59545377362255;-9.64;0.47;-0.27;1.60;0.00
35;59545397381786;-9.56;0.43;-0.08;1.58;0.00
36;59545417431835;-9.10;2.01;-0.30;1.60;0.00
37;59545457531932;-10.01;-4.51;0.50;1.53;0.00
38;59545497570995;-9.47;-0.54;-0.50;1.62;0.00
39;59545517590526;-9.54;0.00;-0.39;1.61;0.00
40;59545537640575;-9.84;-0.02;0.20;1.55;0.00
41;59545557690624;-9.68;-1.67;0.14;1.56;0.00
42;59545577740673;-9.69;-0.44;-0.18;1.59;0.00
43;59545597790722;-9.73;-0.70;-0.20;1.59;0.00
44;59545617840770;-9.71;-0.88;0.06;1.56;0.00
45;59545637860302;-9.70;-0.11;0.09;1.56;0.00
46;59545657849315;-9.66;0.96;-0.13;1.58;0.00
47;59545677929882;-9.70;-0.80;0.09;1.56;0.00
48;59545697979930;-9.88;1.24;-2.19;1.79;0.00
49;59545717999462;-9.73;1.83;-2.00;1.77;0.00
50;59545738049511;-9.67;1.95;-1.54;1.73;0.00
51;59545758099559;-9.17;-0.58;-0.10;1.58;0.00
52;59545778119091;-8.95;-1.22;2.09;1.34;0.00
53;59545798138622;-9.68;-1.01;0.45;1.52;0.00
54;59545838208202;-9.63;-0.79;1.22;1.45;0.00
55;59545858258251;-9.74;-0.96;1.12;1.46;0.00
56;59545878338817;-9.51;2.41;-1.76;1.75;0.00
57;59545898419384;-9.64;1.78;-2.21;1.79;0.00
58;59545938458446;-9.70;-2.09;1.37;1.43;0.00
59;59545958508495;-9.70;-0.82;0.07;1.56;0.00
60;59545978528026;-9.72;1.61;-1.16;1.69;0.00
61;59545998578075;-9.73;-0.16;-0.20;1.59;0.00
62;59546038586620;-9.72;-0.18;0.64;1.51;0.00
63;59546058636669;-9.66;2.70;-2.54;1.82;0.00
64;59546078656200;-10.37;-3.19;-0.75;1.64;0.00
65;59546098706249;-10.42;-2.26;0.51;1.52;0.00
66;59546118725780;-9.37;-0.79;1.70;1.39;0.00
67;59546138745311;-9.40;-2.12;1.21;1.45;0.00
68;59546158764843;-9.65;0.58;-1.08;1.68;0.00
69;59546178784374;-9.69;0.52;-1.15;1.69;0.00
70;59546198803905;-9.67;0.82;-2.04;1.78;0.00
71;59546218884472;-9.61;-0.16;0.01;1.57;0.00
72;59546238904003;-9.88;-2.28;-0.46;1.62;0.00
73;59546258923534;-9.62;1.07;-0.00;1.57;0.00
74;59546278943065;-9.62;-0.69;-0.49;1.62;0.00
75;59546298993114;-9.76;0.80;-0.80;1.65;0.00
76;59546319012645;-9.63;0.29;0.12;1.56;0.00
77;59546339032177;-9.67;-0.19;-0.23;1.59;0.00
78;59546359051708;-9.70;-0.96;-0.20;1.59;0.00
79;59546379101757;-9.70;0.03;-0.37;1.61;0.00
80;59546399151805;-9.72;-0.21;-0.62;1.63;0.00
81;59546419171337;-9.72;0.79;0.28;1.54;0.00
82;59546439190868;-9.72;-0.41;-0.18;1.59;0.00
83;59546459240917;-9.66;-0.57;-0.24;1.60;0.00
84;59546479260448;-9.75;0.37;-0.26;1.60;0.00
85;59546499279979;-9.76;-0.07;-0.36;1.61;0.00
86;59546519330028;-9.72;-0.36;-0.27;1.60;0.00
87;59546539349559;-9.65;-0.20;-0.27;1.60;0.00
88;59546559369091;-9.73;0.15;-0.26;1.60;0.00
89;59546579388622;-9.68;-0.12;-0.24;1.60;0.00
90;59546599408153;-9.71;-0.43;-0.24;1.60;0.00
91;59546619458202;-9.70;0.01;-0.29;1.60;0.00
92;59546639477733;-9.72;-0.06;-0.23;1.59;0.00
93;59546659466747;-9.74;-0.16;-0.33;1.60;0.00
94;59546679516796;-9.74;-0.23;-0.30;1.60;0.00
95;59546699505809;-9.68;-0.04;-0.33;1.60;0.00
96;59546719586376;-9.65;-0.16;-0.31;1.60;0.00
97;59546739605907;-9.67;-0.31;-0.22;1.59;0.00
98;59546759686473;-9.71;0.02;-0.28;1.60;0.00
99;59546779706005;-9.72;-0.04;-0.24;1.60;0.00
100;59546799786571;-9.65;-0.24;-0.20;1.59;0.00
101;59546819836620;-9.66;-0.19;-0.27;1.60;0.00
102;59546839886669;-9.66;-0.12;-0.22;1.59;0.00
103;59546879956249;-9.66;0.01;-0.73;1.65;0.00
104;59546920056347;-9.66;0.07;-0.80;1.65;0.00
105;59546940136913;-9.66;-0.19;-0.33;1.60;0.00
106;59546960156444;-9.71;-0.18;-0.08;1.58;0.00
107;59546980206493;-9.67;-0.21;-0.25;1.60;0.00
108;59547000256542;-9.72;-0.06;-0.47;1.62;0.00
109;59547020306591;-9.71;0.15;-0.74;1.65;0.00
110;59547040326122;-9.67;-0.19;-0.59;1.63;0.00
111;59547060406688;-9.68;-0.10;0.47;1.52;0.00
112;59547100476268;-9.71;0.48;1.89;1.38;0.00
113;59547120526317;-9.73;0.14;-1.21;1.69;0.00
114;59547140545848;-9.68;-0.38;0.64;1.50;0.00
115;59547180645946;-9.74;0.10;0.16;1.55;0.00
116;59547200695995;-9.75;-0.18;0.29;1.54;0.00
117;59547220715526;-9.72;-0.40;-0.58;1.63;0.00
118;59547240765575;-9.76;-0.11;0.16;1.55;0.00
