id;time;xs;ys;zs;ac;kurt
1;59777703508635;-9.69;-0.09;0.09;1.56;0.00
2;59777943712492;-9.74;-0.48;-0.33;1.60;0.00
3;59777963732023;-9.68;-0.34;-0.33;1.60;0.00
4;59777983751555;-9.65;-0.28;-0.16;1.59;0.00
5;59778023821135;-9.71;-0.32;-0.34;1.61;0.00
6;59778043840666;-9.69;-0.35;-0.24;1.60;0.00
7;59778063860197;-9.68;-0.32;-0.28;1.60;0.00
8;59778083879728;-9.68;-0.10;-0.33;1.60;0.00
9;59778123949308;-9.70;-0.26;-0.22;1.59;0.00
10;59778143938322;-9.66;-0.23;-0.31;1.60;0.00
11;59778183977385;-9.69;-0.21;-0.16;1.59;0.00
12;59778203996916;-9.70;-0.19;-0.28;1.60;0.00
13;59778224046965;-9.62;-0.29;-0.27;1.60;0.00
14;59778284136076;-9.72;-0.19;-0.25;1.60;0.00
15;59778324205656;-9.65;-0.34;-0.31;1.60;0.00
16;59778344194670;-9.70;-0.26;-0.23;1.59;0.00
17;59778364244719;-9.68;-0.20;-0.22;1.59;0.00
18;59778384264250;-9.70;-0.26;-0.17;1.59;0.00
19;59778404283781;-9.68;-0.18;-0.27;1.60;0.00
20;59778424333830;-9.66;-0.26;-0.19;1.59;0.00
21;59778444353361;-9.69;-0.23;-0.25;1.60;0.00
22;59778464372892;-9.67;-0.20;-0.24;1.60;0.00
23;59778484392424;-9.69;-0.23;-0.26;1.60;0.00
24;59778504411955;-9.68;-0.29;-0.25;1.60;0.00
25;59778524462004;-9.68;-0.33;-0.19;1.59;0.00
26;59778544481535;-9.65;-0.30;-0.03;1.57;0.00
27;59778564501066;-9.68;0.02;-0.07;1.58;0.00
28;59778584551115;-9.65;-0.18;-0.20;1.59;0.00
29;59778604601164;-9.62;0.06;-0.12;1.58;0.00
30;59778624620695;-9.69;-0.18;-0.20;1.59;0.00
31;59778644640226;-9.70;-0.40;-0.33;1.60;0.00
32;59778664720793;-9.69;-0.68;0.07;1.56;0.00
33;59778684740324;-9.74;-0.44;-0.20;1.59;0.00
34;59778704790373;-9.66;-0.41;-0.38;1.61;0.00
35;59778724779387;-9.66;-1.42;-0.67;1.64;0.00
36;59778744829435;-9.71;-1.29;-0.62;1.63;0.00
37;59778764848967;-9.71;-0.83;0.12;1.56;0.00
38;59778804888029;-9.72;-1.24;-0.44;1.62;0.00
39;59778824907560;-9.74;-0.28;-0.08;1.58;0.00
40;59778844927092;-9.64;0.54;0.00;1.57;0.00
41;59778864977140;-9.76;-0.95;-0.08;1.58;0.00
42;59778884996672;-9.69;0.10;-0.07;1.58;0.00
43;59778905077238;-9.66;0.74;-0.14;1.59;0.00
44;59778925096769;-9.71;0.37;0.16;1.55;0.00
45;59778945116301;-9.74;-2.31;0.30;1.54;0.00
46;59778965135832;-10.16;-2.38;-0.32;1.60;0.00
47;59778985155363;-9.91;-1.51;-0.06;1.58;0.00
48;59779005144377;-9.72;1.43;0.65;1.50;0.00
49;59779025194426;-9.47;-1.95;1.11;1.46;0.00
50;59779045183439;-9.63;-1.67;-0.69;1.64;0.00
51;59779085253019;-9.77;1.72;-3.44;1.90;0.00
52;59779105272551;-9.83;1.36;-2.43;1.81;0.00
53;59779125292082;-9.71;4.82;-1.28;1.69;0.00
54;59779145311613;-10.72;-4.13;-1.09;1.67;0.00
55;59779165361662;-9.55;-1.06;0.86;1.48;0.00
56;59779185381193;-10.37;-0.10;-0.04;1.57;0.00
57;59779205431242;-10.06;1.19;2.11;1.37;0.00
58;59779225481291;-9.59;-0.07;-0.86;1.66;0.00
59;59779245500822;-9.73;-0.68;0.05;1.57;0.00
60;59779265581389;-9.72;-0.80;-0.41;1.61;0.00
61;59779285600920;-9.58;0.13;0.34;1.54;0.00
62;59779305620451;-9.67;0.30;-0.42;1.61;0.00
63;59779325670500;-9.72;-0.22;0.06;1.56;0.00
64;59779345720549;-9.70;-0.33;-0.13;1.58;0.00
65;59779365740080;-9.70;-0.56;-0.12;1.58;0.00
66;59779385759611;-9.69;0.51;-0.14;1.59;0.00
67;59779405809660;-9.67;-0.21;-0.10;1.58;0.00
68;59779425798674;-9.75;-0.20;-0.05;1.58;0.00
69;59779445848723;-9.66;-0.51;-0.16;1.59;0.00
70;59779465868254;-9.73;0.18;-0.08;1.58;0.00
71;59779485887785;-9.69;-0.12;-0.15;1.59;0.00
