id;time;xs;ys;zs;ac;kurt
1;62887358486810;-9.64;-0.05;-0.05;1.58;0.00
2;62887558804193;-9.67;-0.20;0.01;1.57;0.00
3;62887578854242;-9.69;-0.10;0.06;1.56;0.00
4;62887598843255;-9.62;-0.10;0.05;1.57;0.00
5;62887618862786;-9.69;-0.15;-0.06;1.58;0.00
6;62887658901849;-9.70;-0.13;-0.05;1.58;0.00
7;62887678921380;-9.71;-0.04;0.06;1.56;0.00
8;62887698971429;-9.67;-0.12;0.01;1.57;0.00
9;62887718990960;-9.70;-0.21;0.03;1.57;0.00
10;62887759121576;-9.63;-0.18;-0.03;1.57;0.00
11;62887779141107;-9.70;-0.22;0.06;1.56;0.00
12;62887799160638;-9.66;-0.15;0.04;1.57;0.00
13;62887839230218;-9.71;-0.14;0.06;1.56;0.00
14;62887859249749;-9.68;-0.17;0.04;1.57;0.00
15;62887899319329;-9.68;-0.12;0.01;1.57;0.00
16;62887939419427;-9.65;-0.15;0.09;1.56;0.00
17;62887959438958;-9.69;-0.15;-0.00;1.57;0.00
18;62887979458490;-9.74;-0.13;0.03;1.57;0.00
19;62887999508538;-9.67;-0.12;0.02;1.57;0.00
20;62888019528070;-9.66;-0.18;0.02;1.57;0.00
21;62888039578118;-9.66;-0.18;0.03;1.57;0.00
22;62888059628167;-9.69;-0.14;-0.03;1.57;0.00
23;62888079647699;-9.70;-0.10;0.05;1.57;0.00
24;62888099667230;-9.71;-0.17;0.07;1.56;0.00
25;62888119717279;-9.62;-0.11;0.02;1.57;0.00
26;62888139736810;-9.71;-0.11;0.05;1.57;0.00
27;62888159756341;-9.67;-0.14;0.01;1.57;0.00
28;62888199825921;-9.62;-0.16;0.05;1.57;0.00
29;62888219906488;-9.66;-0.05;0.03;1.57;0.00
30;62888239926019;-9.73;-0.18;0.01;1.57;0.00
31;62888259945550;-9.69;-0.06;0.12;1.56;0.00
32;62888279934564;-9.68;-0.14;0.05;1.57;0.00
33;62888300015130;-9.67;-0.11;0.03;1.57;0.00
34;62888320034661;-9.71;-0.15;0.04;1.57;0.00
35;62888340084710;-9.75;-0.16;0.00;1.57;0.00
36;62888360134759;-9.73;-0.17;0.00;1.57;0.00
37;62888380154290;-9.68;-0.18;-0.03;1.57;0.00
38;62888420254388;-9.68;-0.13;0.06;1.56;0.00
39;62888440304437;-9.70;-0.12;-0.01;1.57;0.00
40;62888460323968;-9.69;-0.14;0.07;1.56;0.00
41;62888480343499;-9.70;-0.08;-0.01;1.57;0.00
42;62888500332513;-9.67;-0.14;0.06;1.56;0.00
43;62888520352044;-9.67;-0.09;0.06;1.56;0.00
44;62888540402093;-9.68;-0.15;0.04;1.57;0.00
45;62888560421624;-9.63;-0.11;0.05;1.57;0.00
46;62888580441156;-9.66;-0.15;0.05;1.57;0.00
47;62888600491204;-9.73;-0.10;0.06;1.56;0.00
48;62888620510736;-9.67;-0.15;0.08;1.56;0.00
