id;time;xs;ys;zs;ac;kurt
1;62508297120397;-9.67;-0.23;-0.06;1.58;0.00
2;62508537263219;-9.69;-0.76;-0.24;1.60;0.00
3;62508577332799;-9.67;-0.27;-0.43;1.62;0.00
4;62508597352330;-9.65;-0.30;-0.17;1.59;0.00
5;62508617341344;-9.67;-0.24;-0.20;1.59;0.00
6;62508657319371;-9.65;-0.52;-0.34;1.61;0.00
7;62508697358434;-9.65;-0.27;-0.35;1.61;0.00
8;62508717377965;-9.73;-0.33;-0.30;1.60;0.00
9;62508757417027;-9.69;-0.58;-0.04;1.57;0.00
10;62508797456090;-9.68;-0.28;-0.25;1.60;0.00
11;62508817475621;-9.66;-0.26;-0.13;1.58;0.00
12;62508857484166;-9.74;-0.58;-0.46;1.62;0.00
13;62508897553746;-9.69;-0.45;-0.23;1.59;0.00
14;62508937623326;-9.66;-0.50;-0.44;1.62;0.00
15;62508957642857;-9.70;-0.64;-0.30;1.60;0.00
16;62508977692906;-9.67;-0.48;-0.20;1.59;0.00
17;62508997651402;-9.67;-0.15;-0.28;1.60;0.00
18;62509017670934;-9.72;0.06;-0.35;1.61;0.00
19;62509037690465;-9.72;-0.29;-0.29;1.60;0.00
20;62509057740514;-9.67;-0.62;-0.23;1.59;0.00
21;62509077760045;-9.70;-0.65;-0.38;1.61;0.00
22;62509097810094;-9.69;-0.47;-0.26;1.60;0.00
23;62509117829625;-9.69;-0.32;-0.26;1.60;0.00
24;62509137849156;-9.65;0.37;-0.23;1.59;0.00
25;62509157868688;-9.67;-1.27;-0.20;1.59;0.00
26;62509177888219;-9.65;-0.34;-0.58;1.63;0.00
27;62509197907750;-9.70;0.33;-0.28;1.60;0.00
28;62509217957799;-9.63;-0.66;-0.19;1.59;0.00
29;62509237977330;-9.01;1.18;-0.86;1.67;0.00
30;62509257996861;-10.47;-2.07;0.20;1.55;0.00
31;62509278016393;-8.55;4.02;0.73;1.49;0.00
32;62509298035924;-10.89;-9.76;-0.43;1.60;0.00
33;62509338105504;-10.18;-1.42;0.57;1.52;0.00
34;62509358125035;-10.60;-2.45;0.67;1.51;0.00
35;62509378205602;-9.89;-4.09;-0.50;1.62;0.00
36;62509398194615;-9.27;-0.18;-0.10;1.58;0.00
37;62509418244664;-10.53;-1.44;2.30;1.36;0.00
38;62509438264195;-9.36;9.43;1.03;1.49;0.00
39;62509458283727;-9.08;-4.61;-1.11;1.68;0.00
40;62509478303258;-9.98;2.71;-0.87;1.65;0.00
41;62509498292272;-10.06;0.31;-3.57;1.91;0.00
42;62509518311803;-9.84;-0.40;-0.66;1.64;0.00
43;62509538361852;-9.75;2.35;-1.42;1.71;0.00
44;62509558350865;-9.79;1.55;0.40;1.53;0.00
45;62509578400914;-9.71;-0.73;-2.74;1.85;0.00
46;62509598420445;-9.73;-3.41;0.20;1.55;0.00
47;62509618439977;-9.36;-0.11;0.04;1.57;0.00
48;62509638490025;-9.64;-0.50;0.10;1.56;0.00
49;62509658509557;-9.70;0.75;0.17;1.55;0.00
50;62509678498570;-9.66;-0.22;0.36;1.53;0.00
51;62509698548619;-9.71;-0.14;-0.45;1.62;0.00
52;62509718568150;-9.76;-0.61;-0.28;1.60;0.00
53;62509738587682;-9.74;-1.13;0.61;1.51;0.00
54;62509758637731;-9.62;0.17;1.08;1.46;0.00
55;62509778657262;-9.68;0.40;0.30;1.54;0.00
56;62509798676793;-9.72;0.51;0.08;1.56;0.00
57;62509818726842;-9.72;0.21;-0.58;1.63;0.00
58;62509838746373;-9.74;-0.93;-0.30;1.60;0.00
59;62509858765904;-9.73;-0.86;0.54;1.52;0.00
60;62509878846471;-9.66;0.53;0.70;1.50;0.00
61;62509898835484;-9.65;0.24;-0.06;1.58;0.00
62;62509918885533;-9.66;-0.71;0.17;1.55;0.00
63;62509938905065;-9.65;-1.32;0.06;1.56;0.00
64;62509958924596;-9.66;0.40;0.32;1.54;0.00
65;62509978944127;-9.65;1.71;0.76;1.49;0.00
66;62509998994176;-9.58;-0.33;0.19;1.55;0.00
67;62510019013707;-9.68;-0.97;0.36;1.53;0.00
68;62510039033238;-9.71;-0.66;-0.26;1.60;0.00
69;62510059113805;-9.70;0.24;-0.61;1.63;0.00
70;62510079133336;-9.68;-0.11;-0.25;1.60;0.00
71;62510099183385;-9.71;-0.13;-0.97;1.67;0.00
72;62510119263951;-9.64;-0.62;0.76;1.49;0.00
73;62510139283482;-9.72;-0.60;-0.31;1.60;0.00
74;62510159303014;-9.65;0.11;0.04;1.57;0.00
75;62510179322545;-9.70;0.12;-1.04;1.68;0.00
76;62510199342076;-9.65;0.30;0.12;1.56;0.00
77;62510219361607;-9.69;0.27;-0.34;1.61;0.00
78;62510239442174;-9.71;0.08;0.06;1.56;0.00
79;62510259461705;-9.58;-1.21;-0.10;1.58;0.00
80;62510279481236;-9.60;-1.05;-0.05;1.58;0.00
81;62510299561803;-9.66;-0.04;-0.26;1.60;0.00
82;62510319581334;-9.67;0.59;-0.30;1.60;0.00
83;62510339600865;-9.69;0.15;0.03;1.57;0.00
84;62510359620397;-9.72;-0.79;-0.10;1.58;0.00
85;62510379639928;-9.73;-0.58;-0.14;1.59;0.00
86;62510399659459;-9.71;0.11;-0.03;1.57;0.00
87;62510419678990;-9.67;0.39;0.04;1.57;0.00
88;62510439698522;-9.70;-0.26;0.15;1.56;0.00
89;62510459687535;-9.70;-0.70;1.30;1.44;0.00
90;62510499757115;-9.63;-0.48;1.81;1.39;0.00
91;62510539857213;-9.68;-0.31;0.11;1.56;0.00
92;62510559876744;-9.69;-0.44;-0.46;1.62;0.00
93;62510599946324;-9.69;0.36;1.15;1.45;0.00
94;62510619965856;-9.69;0.23;1.06;1.46;0.00
95;62510640015904;-9.70;-0.59;1.68;1.40;0.00
96;62510660035436;-9.72;-0.52;1.63;1.40;0.00
97;62510680024449;-9.71;-0.12;0.24;1.55;0.00
98;62510700074498;-9.63;0.04;0.15;1.56;0.00
99;62510720124547;-9.69;0.07;0.43;1.53;0.00
100;62510740144078;-9.15;0.20;-2.78;1.87;0.00
101;62510780183141;-9.68;-1.69;-2.41;1.81;0.00
102;62510800233190;-9.67;-0.55;-0.04;1.57;0.00
103;62510820252721;-9.68;0.10;-0.55;1.63;0.00
104;62510860291783;-9.55;-0.03;0.83;1.48;0.00
105;62510900300328;-9.66;-0.71;0.20;1.55;0.00
106;62510920319859;-9.72;0.26;0.75;1.49;0.00
107;62510940339391;-9.74;0.24;-0.65;1.64;0.00
108;62510960358922;-9.70;-0.30;-0.75;1.65;0.00
109;62511000397984;-9.72;0.82;0.50;1.52;0.00
110;62511020417516;-9.63;-0.27;-0.15;1.59;0.00
111;62511060395543;-9.62;-1.11;-0.03;1.57;0.00
112;62511080445592;-9.74;1.04;0.80;1.49;0.00
113;62511120545690;-9.75;-0.51;-0.43;1.61;0.00
114;62511140565221;-9.68;-0.23;0.57;1.51;0.00
115;62511180634801;-9.73;-0.48;-0.49;1.62;0.00
116;62511200654332;-9.66;-0.41;-0.74;1.65;0.00
117;62511220673863;-9.65;-0.71;-0.24;1.60;0.00
118;62511240693395;-9.70;-0.25;0.43;1.53;0.00
119;62511260682408;-9.73;0.24;0.07;1.56;0.00
120;62511280732457;-9.67;0.32;-0.07;1.58;0.00
121;62511300751988;-9.73;-0.15;-0.17;1.59;0.00
122;62511320771520;-9.45;-0.88;2.55;1.31;0.00
123;62511340821568;-9.59;0.55;-1.09;1.68;0.00
124;62511360841100;-9.63;-0.42;0.82;1.49;0.00
125;62511380860631;-9.46;-0.68;1.50;1.41;0.00
126;62511400880162;-9.54;0.51;-1.41;1.72;0.00
127;62511420899693;-9.73;-0.42;-1.47;1.72;0.00
128;62511440888707;-9.30;-0.70;-1.52;1.73;0.00
129;62511460938756;-9.55;0.30;-0.87;1.66;0.00
130;62511480958287;-9.95;0.42;-0.76;1.65;0.00
131;62511500977818;-9.71;-0.66;-2.15;1.79;0.00
132;62511520997350;-9.53;0.08;-1.75;1.75;0.00
133;62511541016881;-9.52;-0.75;-0.60;1.63;0.00
134;62511561005895;-9.62;0.07;-0.29;1.60;0.00
135;62511581086461;-9.62;-0.12;-0.66;1.64;0.00
136;62511601105992;-9.69;-0.01;-0.13;1.58;0.00
137;62511621186559;-9.72;-0.12;-0.11;1.58;0.00
138;62511641206090;-9.72;0.09;-0.50;1.62;0.00
139;62511661195104;-9.70;-0.54;-0.93;1.67;0.00
140;62511681214635;-9.74;-0.62;-0.91;1.66;0.00
141;62511701264684;-9.76;-0.11;-0.91;1.66;0.00
142;62511741334264;-9.68;-0.02;-0.47;1.62;0.00
143;62511761353795;-9.71;-0.10;-0.54;1.63;0.00
144;62511781373326;-9.62;-0.36;-0.49;1.62;0.00
145;62511801392857;-9.64;0.16;-0.36;1.61;0.00
146;62511821442906;-9.66;-0.09;-0.70;1.64;0.00
147;62511841462438;-9.72;-0.28;-0.31;1.60;0.00
148;62511861481969;-9.69;0.05;-0.07;1.58;0.00
149;62511881532018;-9.44;-0.10;1.30;1.43;0.00
150;62511901643102;-9.71;0.06;-0.84;1.66;0.00
151;62511921693150;-9.62;-0.69;1.36;1.43;0.00
152;62511941743199;-9.70;-0.12;-0.63;1.64;0.00
153;62511961793248;-9.65;0.05;0.52;1.52;0.00
154;62511981843297;-9.65;0.22;0.23;1.55;0.00
155;62512001893346;-9.66;-0.40;0.89;1.48;0.00
156;62512021882359;-9.69;-0.76;-0.36;1.61;0.00
157;62512041962926;-9.73;-0.10;-0.64;1.64;0.00
158;62512061982457;-9.63;0.14;0.08;1.56;0.00
159;62512082001988;-9.62;-0.10;-0.02;1.57;0.00
160;62512102021520;-9.64;0.17;0.18;1.55;0.00
161;62512122041051;-9.74;-0.13;-1.10;1.68;0.00
162;62512142091100;-9.64;0.00;-2.26;1.80;0.00
163;62512162110631;-9.73;-0.84;-2.01;1.77;0.00
164;62512182160680;-9.69;-0.28;-0.51;1.62;0.00
165;62512202180211;-9.72;0.61;-0.71;1.64;0.00
166;62512222230260;-9.73;-0.75;-0.40;1.61;0.00
167;62512242249791;-9.73;-0.05;-0.54;1.63;0.00
168;62512262299840;-9.73;-0.38;-0.66;1.64;0.00
169;62512302369420;-9.75;-0.33;-0.65;1.64;0.00
170;62512322388951;-9.63;-0.19;-0.62;1.64;0.00
171;62512342408482;-9.67;-0.33;-0.59;1.63;0.00
172;62512362428014;-9.72;-0.01;0.00;1.57;0.00
173;62512382447545;-9.63;-0.32;-0.12;1.58;0.00
174;62512402497594;-9.68;-0.41;-0.37;1.61;0.00
175;62512422517125;-9.69;-0.08;-0.56;1.63;0.00
176;62512442536656;-9.64;0.17;-0.80;1.65;0.00
177;62512482636754;-9.68;-0.70;-1.00;1.67;0.00
178;62512502686803;-9.68;-0.57;-0.51;1.62;0.00
179;62512522767369;-9.68;-0.07;-0.88;1.66;0.00
180;62512542786900;-9.73;0.35;-1.17;1.69;0.00
181;62512562806432;-9.67;-0.18;-0.45;1.62;0.00
182;62512582856481;-9.66;-0.48;-0.26;1.60;0.00
183;62512602876012;-9.70;-0.25;-0.35;1.61;0.00
184;62512622895543;-9.66;0.06;-0.03;1.57;0.00
185;62512642915074;-9.65;-0.03;-0.01;1.57;0.00
186;62512662934606;-9.67;-0.33;-0.38;1.61;0.00
187;62512683015172;-9.74;-0.04;-0.36;1.61;0.00
188;62512703065221;-9.71;0.14;0.11;1.56;0.00
189;62512723084752;-9.74;0.06;0.39;1.53;0.00
190;62512743104283;-9.67;-0.25;0.56;1.51;0.00
191;62512763154332;-9.73;-0.39;-0.59;1.63;0.00
192;62512783173863;-9.65;0.02;-0.52;1.62;0.00
193;62512803193395;-9.64;-0.17;0.03;1.57;0.00
194;62512823243443;-9.69;-0.14;-0.02;1.57;0.00
195;62512843262975;-9.64;-0.13;-0.27;1.60;0.00
196;62512863251988;-9.66;-0.19;-0.33;1.60;0.00
197;62512883302037;-9.68;-0.14;-0.37;1.61;0.00
198;62512903321568;-9.73;-0.08;-0.57;1.63;0.00
199;62512923310582;-9.65;-0.20;-0.44;1.62;0.00
200;62512943360631;-9.74;-0.46;0.02;1.57;0.00
