id;time;xs;ys;zs;ac;kurt
1;61639859766388;-9.65;0.94;0.43;1.53;0.00
2;61640019953155;-9.67;-0.07;-0.03;1.57;0.00
3;61640040003204;-9.67;-0.31;-0.51;1.62;0.00
4;61640080042267;-9.73;-0.47;-0.10;1.58;0.00
5;61640100061798;-9.67;-0.47;-0.21;1.59;0.00
6;61640120081329;-9.70;-0.22;-0.25;1.60;0.00
7;61640140100860;-9.70;-0.07;-0.21;1.59;0.00
8;61640160150909;-9.70;-0.18;-0.06;1.58;0.00
9;61640180170440;-9.74;-0.45;-0.23;1.59;0.00
10;61640200189972;-9.67;-0.42;-0.28;1.60;0.00
11;61640240259552;-9.70;-0.16;-0.13;1.58;0.00
12;61640260248565;-9.70;-0.22;-0.16;1.59;0.00
13;61640300348663;-9.73;-0.36;-0.23;1.59;0.00
14;61640320368194;-9.68;-0.54;-0.16;1.59;0.00
15;61640360407257;-9.69;-0.29;-0.18;1.59;0.00
16;61640380457306;-9.73;-0.22;-0.17;1.59;0.00
17;61640400507354;-9.67;-0.25;-0.18;1.59;0.00
18;61640440546417;-9.68;-0.40;-0.16;1.59;0.00
19;61640460565948;-9.69;-0.26;-0.12;1.58;0.00
20;61640480585479;-9.68;-0.25;-0.21;1.59;0.00
21;61640500605011;-9.66;-0.34;-0.23;1.59;0.00
22;61640520655059;-9.67;-0.40;-0.21;1.59;0.00
23;61640540705108;-9.66;-0.41;-0.17;1.59;0.00
24;61640560785675;-9.68;-0.33;-0.14;1.59;0.00
25;61640580835724;-9.67;-0.22;-0.16;1.59;0.00
26;61640600855255;-9.69;-0.35;-0.21;1.59;0.00
27;61640620874786;-9.68;-0.32;-0.19;1.59;0.00
28;61640640924835;-9.68;-0.34;-0.21;1.59;0.00
29;61640660944366;-9.68;-0.34;-0.17;1.59;0.00
30;61640680963897;-9.72;-0.33;-0.16;1.59;0.00
31;61640701013946;-9.73;-0.29;-0.16;1.59;0.00
32;61640721063995;-9.71;-0.29;-0.14;1.59;0.00
33;61640741114044;-9.51;-1.19;0.41;1.53;0.00
34;61640761133575;-9.39;-2.33;0.63;1.51;0.00
35;61640781183624;-9.71;-2.75;-0.61;1.63;0.00
36;61640801203155;-9.77;-1.02;0.55;1.51;0.00
37;61640841303253;-9.78;-0.13;-1.86;1.76;0.00
38;61640861322784;-9.45;0.38;-1.35;1.71;0.00
39;61640881342315;-10.13;0.98;-1.92;1.76;0.00
40;61640901361847;-9.33;-0.48;0.87;1.48;0.00
41;61640921381378;-10.15;-3.84;0.55;1.52;0.00
42;61640941431427;-9.49;-2.64;0.62;1.51;0.00
43;61640961481475;-10.72;2.77;-2.15;1.76;0.00
44;61640981501007;-9.94;0.12;0.44;1.53;0.00
45;61641021570587;-9.19;-0.22;0.59;1.51;0.00
46;61641041590118;-9.68;-2.43;-1.92;1.76;0.00
47;61641061670684;-9.76;0.75;-1.79;1.75;0.00
48;61641081690216;-9.69;1.50;1.26;1.44;0.00
49;61641101709747;-9.92;-0.64;0.08;1.56;0.00
50;61641121759796;-9.68;-0.37;-0.11;1.58;0.00
51;61641141809845;-9.77;0.25;-0.94;1.67;0.00
52;61641161829376;-9.75;1.00;-0.49;1.62;0.00
53;61641181848907;-9.62;-0.33;0.45;1.52;0.00
54;61641201868438;-9.70;-0.69;-1.14;1.69;0.00
55;61641221918487;-9.75;-0.28;-0.40;1.61;0.00
56;61641241938018;-9.76;-0.75;0.57;1.51;0.00
57;61641261988067;-9.64;0.15;-0.16;1.59;0.00
58;61641282007599;-9.62;0.05;-0.30;1.60;0.00
59;61641302057647;-9.72;-0.23;0.30;1.54;0.00
60;61641322107696;-9.73;-0.50;0.12;1.56;0.00
61;61641342127227;-9.56;-0.43;0.72;1.50;0.00
62;61641362207794;-9.71;0.23;-0.21;1.59;0.00
63;61641382227325;-9.67;0.52;-0.37;1.61;0.00
64;61641402277374;-9.68;-0.05;-0.67;1.64;0.00
65;61641422327423;-9.68;-0.30;-0.83;1.66;0.00
66;61641442377472;-9.66;-0.94;0.20;1.55;0.00
67;61641462397003;-9.74;-0.05;0.87;1.48;0.00
68;61641482416534;-9.62;-0.53;0.27;1.54;0.00
69;61641502466583;-9.74;0.40;-0.95;1.67;0.00
70;61641522516632;-9.74;1.78;-1.08;1.68;0.00
71;61641542566681;-9.68;0.50;-0.76;1.65;0.00
72;61641562647247;-9.46;-1.56;-0.59;1.63;0.00
73;61641582666778;-9.59;-2.38;0.79;1.49;0.00
74;61641602686309;-9.77;-0.38;-0.23;1.59;0.00
75;61641622705841;-9.65;0.99;-0.00;1.57;0.00
76;61641642725372;-9.69;-0.26;-0.15;1.59;0.00
77;61641662744903;-9.74;0.82;0.05;1.57;0.00
78;61641682825470;-9.72;-1.76;-0.25;1.60;0.00
79;61641702845001;-9.68;-0.21;-0.47;1.62;0.00
80;61641722895050;-9.52;-0.71;-0.67;1.64;0.00
81;61641742945099;-9.71;0.26;-0.16;1.59;0.00
82;61641762964630;-9.67;0.09;-0.11;1.58;0.00
83;61641783014679;-9.67;0.24;-0.15;1.59;0.00
84;61641803034210;-9.71;-0.55;-0.18;1.59;0.00
85;61641823053741;-9.67;0.94;-0.05;1.58;0.00
86;61641843073272;-9.73;0.00;-0.17;1.59;0.00
87;61641863092804;-9.63;-0.31;0.55;1.51;0.00
88;61641883112335;-9.67;-0.31;0.07;1.56;0.00
89;61641903131866;-9.71;-0.42;-0.23;1.59;0.00
90;61641923181915;-9.66;-0.03;-0.47;1.62;0.00
91;61641943201446;-9.76;0.22;-0.51;1.62;0.00
92;61641963251495;-9.70;0.08;-0.24;1.60;0.00
93;61641983271026;-9.69;-0.45;-0.19;1.59;0.00
94;61642003290558;-9.71;-0.57;-0.15;1.59;0.00
95;61642023279571;-9.67;0.00;-0.16;1.59;0.00
96;61642043329620;-9.72;0.15;0.18;1.55;0.00
97;61642063349151;-9.71;-0.27;-0.09;1.58;0.00
98;61642083338165;-9.74;-0.12;-0.12;1.58;0.00
99;61642103388214;-9.66;-0.31;-0.43;1.62;0.00
100;61642123407745;-9.68;0.65;-0.37;1.61;0.00
101;61642143457794;-9.73;-0.27;0.63;1.51;0.00
102;61642163446808;-9.68;-0.36;-0.23;1.59;0.00
103;61642183466339;-9.74;0.28;-0.58;1.63;0.00
104;61642203546905;-9.71;0.06;-0.45;1.62;0.00
105;61642223505401;-9.63;-0.15;-0.03;1.57;0.00
106;61642243555450;-9.68;-0.49;-0.36;1.61;0.00
107;61642263544464;-9.69;-0.25;-0.66;1.64;0.00
108;61642283533477;-9.67;-0.09;-0.41;1.61;0.00
109;61642303553009;-9.71;0.28;0.08;1.56;0.00
110;61642323603058;-9.66;-0.01;0.05;1.57;0.00
111;61642343592071;-9.66;-0.41;0.25;1.54;0.00
112;61642363550567;-9.69;-0.45;-0.07;1.58;0.00
113;61642383631134;-9.67;-0.13;-0.06;1.58;0.00
