id;time;xs;ys;zs;ac;kurt
1;61860579647691;-9.69;-0.07;-0.22;1.59;0.00
2;61860779781968;-9.69;-0.39;-0.08;1.58;0.00
3;61860799801499;-9.79;-0.44;-0.08;1.58;0.00
4;61860859860093;-9.59;-0.52;0.00;1.57;0.00
5;61860879879624;-9.68;-0.25;-0.20;1.59;0.00
6;61860939907700;-9.65;-0.55;-0.08;1.58;0.00
7;61860959957749;-9.73;-0.51;-0.26;1.60;0.00
8;61860980007798;-9.76;-0.32;-0.42;1.61;0.00
9;61861020046860;-9.71;-0.38;-0.11;1.58;0.00
10;61861040096909;-9.66;-0.69;0.26;1.54;0.00
11;61861120144517;-9.71;0.52;-0.90;1.66;0.00
12;61861160214097;-9.69;0.21;-0.40;1.61;0.00
13;61861200253159;-9.74;-0.99;-0.19;1.59;0.00
14;61861220272691;-9.71;-0.87;0.16;1.55;0.00
15;61861240292222;-9.69;-0.64;-0.04;1.57;0.00
16;61861260311753;-9.65;-0.50;-0.11;1.58;0.00
17;61861280331284;-9.77;-0.38;-1.14;1.69;0.00
18;61861300350816;-9.73;0.10;-0.40;1.61;0.00
19;61861320370347;-9.67;-0.95;0.23;1.55;0.00
20;61861340420396;-9.54;1.12;-0.39;1.61;0.00
21;61861360470444;-9.67;-1.56;-0.30;1.60;0.00
22;61861380489976;-9.85;0.39;-0.11;1.58;0.00
23;61861400509507;-9.67;-1.80;0.15;1.56;0.00
24;61861420529038;-9.56;-0.08;-0.12;1.58;0.00
25;61861440548569;-9.59;-0.70;-0.36;1.61;0.00
26;61861480618150;-9.62;0.63;-0.05;1.58;0.00
27;61861500637681;-9.59;0.11;-0.18;1.59;0.00
28;61861520657212;-9.69;-1.31;0.74;1.50;0.00
29;61861540676743;-9.56;-1.01;0.53;1.52;0.00
30;61861560635239;-9.52;-0.69;0.99;1.47;0.00
31;61861580685288;-9.89;-0.46;0.30;1.54;0.00
32;61861600674302;-9.58;0.67;0.17;1.55;0.00
33;61861620663316;-9.58;-0.24;0.61;1.51;0.00
34;61861640682847;-9.66;-0.46;-0.31;1.60;0.00
35;61861660702378;-10.03;1.17;-3.59;1.91;0.00
36;61861680721909;-9.71;0.99;-1.72;1.75;0.00
37;61861700710923;-9.68;-1.00;1.42;1.43;0.00
38;61861720730454;-9.52;-1.26;0.89;1.48;0.00
39;61861740749985;-9.66;0.96;0.28;1.54;0.00
40;61861760769517;-9.72;0.35;-0.86;1.66;0.00
41;61861780789048;-9.55;0.32;-0.72;1.65;0.00
42;61861800808579;-9.54;-0.39;0.29;1.54;0.00
43;61861820828110;-9.58;-0.69;0.41;1.53;0.00
44;61861840847642;-9.75;-1.02;-0.14;1.59;0.00
45;61861860867173;-9.70;0.38;-0.80;1.65;0.00
46;61861880886704;-9.67;1.14;-0.53;1.63;0.00
47;61861900906235;-9.67;-0.14;0.25;1.54;0.00
48;61861920925767;-9.66;-1.13;0.38;1.53;0.00
49;61861940945298;-9.69;-1.12;0.09;1.56;0.00
50;61861960964829;-9.67;0.16;-0.16;1.59;0.00
51;61861980984360;-9.73;0.03;-0.16;1.59;0.00
52;61862001003892;-9.68;0.52;-1.16;1.69;0.00
53;61862021023423;-9.75;0.66;-1.27;1.70;0.00
54;61862041073472;-9.59;-0.51;0.91;1.48;0.00
55;61862061062485;-9.79;-1.21;0.32;1.54;0.00
56;61862081112534;-9.64;-0.09;0.68;1.50;0.00
57;61862101132066;-9.61;0.31;-0.19;1.59;0.00
58;61862121121079;-9.76;-0.90;-1.00;1.67;0.00
59;61862141140610;-9.67;0.27;0.18;1.55;0.00
60;61862161160142;-9.74;-0.13;-0.78;1.65;0.00
61;61862181179673;-9.59;-0.21;-0.17;1.59;0.00
62;61862201199204;-9.62;-0.49;1.00;1.47;0.00
63;61862221218735;-9.75;-0.53;-0.66;1.64;0.00
64;61862241268784;-9.71;0.07;-1.53;1.73;0.00
65;61862261288316;-9.69;0.36;-0.24;1.60;0.00
66;61862281277329;-9.76;-0.27;-0.53;1.63;0.00
67;61862301327378;-9.63;-0.55;0.42;1.53;0.00
68;61862321346909;-9.73;-0.35;-0.27;1.60;0.00
69;61862361416489;-9.69;0.16;-0.22;1.59;0.00
70;61862381466538;-9.64;-0.34;0.15;1.56;0.00
71;61862401486069;-9.64;-0.36;-0.03;1.57;0.00
72;61862421505601;-9.68;-0.19;0.29;1.54;0.00
73;61862441555650;-9.61;-0.08;1.35;1.43;0.00
74;61862461575181;-9.62;0.06;1.58;1.41;0.00
75;61862481594712;-9.64;-0.25;1.36;1.43;0.00
76;61862501614243;-9.73;0.00;-0.98;1.67;0.00
77;61862541653306;-9.69;-0.21;-0.62;1.63;0.00
78;61862561703355;-9.74;-0.19;0.51;1.52;0.00
79;61862581722886;-9.73;0.03;0.58;1.51;0.00
80;61862601772935;-9.66;-0.04;0.85;1.48;0.00
81;61862621792466;-9.66;-0.06;-0.34;1.61;0.00
82;61862641811997;-9.66;-0.37;-0.19;1.59;0.00
83;61862661831528;-9.77;-0.30;0.31;1.54;0.00
84;61862681851060;-9.69;0.02;0.58;1.51;0.00
85;61862701901108;-9.69;0.01;0.42;1.53;0.00
86;61862721920640;-9.75;-0.20;-0.24;1.60;0.00
87;61862741970689;-9.73;-0.43;0.17;1.55;0.00
88;61862761990220;-9.68;-0.16;0.18;1.55;0.00
89;61862782040269;-9.64;-0.05;0.49;1.52;0.00
90;61862802090317;-9.72;-0.04;0.24;1.55;0.00
91;61862822109849;-9.73;-0.31;0.03;1.57;0.00
92;61862842129380;-9.63;-0.29;0.21;1.55;0.00
93;61862862209946;-9.68;-0.07;0.18;1.55;0.00
94;61862882259995;-9.68;-0.06;0.34;1.54;0.00
95;61862902279526;-9.68;-0.22;0.07;1.56;0.00
96;61862922299058;-9.68;-0.35;0.21;1.55;0.00
97;61862942288071;-9.70;-0.13;0.30;1.54;0.00
98;61862962307603;-9.67;-0.04;0.27;1.54;0.00
99;61862982327134;-9.68;-0.18;0.22;1.55;0.00
100;61863002407700;-9.67;-0.27;0.04;1.57;0.00
101;61863022427232;-9.65;-0.20;0.21;1.55;0.00
102;61863042446763;-9.70;-0.06;0.23;1.55;0.00
103;61863062466294;-9.69;-0.14;0.24;1.55;0.00
104;61863082516343;-9.67;-0.26;0.24;1.55;0.00
105;61863102505357;-9.64;-0.15;0.10;1.56;0.00
106;61863122555405;-9.69;-0.09;0.22;1.55;0.00
107;61863142605454;-9.68;-0.10;0.28;1.54;0.00
108;61863162624985;-9.69;-0.14;0.21;1.55;0.00
109;61863182613999;-9.73;-0.17;0.18;1.55;0.00
110;61863202664048;-9.64;-0.11;0.16;1.55;0.00
111;61863222714097;-9.72;-0.16;0.32;1.54;0.00
112;61863242733628;-9.68;-0.15;0.19;1.55;0.00
113;61863262753159;-9.75;-0.12;0.18;1.55;0.00
114;61863282742173;-9.70;-0.16;0.16;1.55;0.00
115;61863302761704;-9.68;-0.17;0.20;1.55;0.00
116;61863322781235;-9.67;-0.25;0.25;1.54;0.00
117;61863342800767;-9.68;-0.14;0.21;1.55;0.00
118;61863362789780;-9.70;-0.13;0.25;1.55;0.00
119;61863382870347;-9.69;-0.20;0.28;1.54;0.00
120;61863402859360;-9.66;-0.18;0.24;1.55;0.00
121;61863422909409;-9.69;-0.15;0.19;1.55;0.00
122;61863442867905;-9.69;-0.16;0.15;1.56;0.00
123;61863462887437;-9.68;-0.13;0.26;1.54;0.00
124;61863482937485;-9.67;-0.16;0.21;1.55;0.00
125;61863502957017;-9.69;-0.10;0.16;1.55;0.00
126;61863522946030;-9.75;-0.25;0.23;1.55;0.00
127;61863543026597;-9.69;-0.14;0.21;1.55;0.00
128;61863563046128;-9.67;-0.11;0.26;1.54;0.00
129;61863583035142;-9.63;-0.12;0.23;1.55;0.00
130;61863603085191;-9.72;-0.17;0.20;1.55;0.00
131;61863623074204;-9.67;-0.11;0.25;1.54;0.00
132;61863643124253;-9.72;-0.17;0.19;1.55;0.00
133;61863683163316;-9.70;-0.17;0.23;1.55;0.00
134;61863703182847;-9.72;-0.13;0.24;1.55;0.00
135;61863743191392;-9.67;-0.11;0.18;1.55;0.00
136;61863763210923;-9.74;-0.13;0.19;1.55;0.00
137;61863783199937;-9.67;-0.25;0.19;1.55;0.00
138;61863803219468;-9.70;-0.35;0.28;1.54;0.00
139;61863823238999;-9.65;-1.09;0.37;1.53;0.00
140;61863843258530;-9.67;0.17;0.34;1.54;0.00
141;61863863278062;-9.67;1.23;-0.15;1.59;0.00
142;61863883297593;-9.74;0.43;0.42;1.53;0.00
143;61863903286607;-10.08;-1.68;-0.75;1.64;0.00
144;61863923336655;-9.71;-0.38;0.23;1.55;0.00
145;61863943356187;-9.70;-0.16;0.06;1.56;0.00
146;61863983334214;-9.12;-0.33;0.34;1.53;0.00
