id;time;xs;ys;zs;ac;kurt
1;443498810944;-9.65;-0.67;-0.15;1.59;0.00
2;447282089655;-9.71;-1.00;-0.50;1.62;0.00
3;447402328913;-9.65;-0.78;-0.10;1.58;0.00
4;447482498590;-9.76;-0.58;-0.34;1.61;0.00
5;447522537653;-9.64;-0.56;-0.25;1.60;0.00
6;447582596247;-9.66;-0.65;-0.23;1.59;0.00
7;447602615778;-9.72;-0.53;-0.40;1.61;0.00
8;447642776911;-9.70;-0.63;-0.20;1.59;0.00
9;447682877008;-9.63;-0.73;-0.39;1.61;0.00
10;447702896540;-9.65;-0.73;-0.16;1.59;0.00
11;447722916071;-9.75;-0.56;-0.31;1.60;0.00
12;447742935602;-9.68;-0.58;-0.43;1.62;0.00
13;447762955133;-9.68;-0.82;-0.18;1.59;0.00
14;447782974665;-9.62;-0.71;-0.38;1.61;0.00
15;447803055231;-9.77;-0.71;-0.41;1.61;0.00
16;447823105280;-9.69;-0.60;-0.23;1.59;0.00
17;447843155329;-9.70;-0.58;-0.29;1.60;0.00
18;447863205378;-9.69;-0.65;-0.41;1.61;0.00
19;447883255426;-9.70;-0.91;-2.59;1.83;0.00
20;447903274958;-9.60;-1.43;0.83;1.49;0.00
21;447923325007;-9.72;0.28;0.35;1.53;0.00
22;447943344538;-9.64;-0.93;0.32;1.54;0.00
23;447963364069;-9.71;0.64;0.58;1.51;0.00
24;447983383600;-9.72;-0.71;-0.22;1.59;0.00
25;448003464167;-9.46;-0.37;-1.36;1.71;0.00
26;448023544733;-9.64;-1.50;-0.37;1.61;0.00
27;467377488380;-9.67;0.12;0.12;1.56;0.00
28;467477586036;-9.71;-0.28;-0.02;1.57;0.00
29;467517686134;-9.66;0.00;0.26;1.54;0.00
30;467557755714;-9.63;-0.26;-0.14;1.59;0.00
31;467577775245;-9.61;-0.09;0.03;1.57;0.00
32;467597855811;-9.71;0.04;0.07;1.56;0.00
33;467617875342;-9.70;-0.16;0.27;1.54;0.00
34;467637925391;-9.69;-0.17;0.08;1.56;0.00
35;467657944923;-9.77;0.12;-0.09;1.58;0.00
36;467677933936;-9.69;-0.14;0.08;1.56;0.00
37;467697953467;-9.66;-0.20;0.15;1.56;0.00
38;467717972999;-9.65;-0.11;-0.03;1.57;0.00
39;467738023048;-9.73;-0.20;-0.17;1.59;0.00
40;467778062110;-9.71;-0.03;0.24;1.55;0.00
41;467798112159;-9.70;-0.03;0.09;1.56;0.00
42;467818131690;-9.70;-0.17;-0.06;1.58;0.00
43;467858231788;-9.70;0.01;0.17;1.55;0.00
44;467898270850;-9.66;-0.40;-0.10;1.58;0.00
45;467958359962;-9.66;-0.38;-0.05;1.58;0.00
46;467998429542;-9.63;-0.08;0.16;1.55;0.00
47;468018449073;-9.68;-0.27;0.22;1.55;0.00
48;468058518653;-9.58;-0.04;0.41;1.53;0.00
49;468078568702;-9.87;0.02;-0.39;1.61;0.00
50;468118668800;-9.66;-0.20;0.62;1.51;0.00
51;468138688331;-9.79;0.18;-0.75;1.65;0.00
52;468158707862;-9.58;-0.49;0.90;1.48;0.00
53;468178727393;-9.78;-0.07;0.04;1.57;0.00
54;468198777442;-9.87;0.12;-0.47;1.62;0.00
55;468238816505;-9.72;-0.08;-0.43;1.62;0.00
56;468258866553;-9.77;-0.01;0.28;1.54;0.00
57;468278886085;-9.62;-0.15;0.28;1.54;0.00
58;468298905616;-9.71;-0.03;-0.29;1.60;0.00
59;468318925147;-9.67;-0.25;0.36;1.53;0.00
60;468338944678;-9.69;-0.01;0.01;1.57;0.00
61;468359025245;-9.73;-0.00;0.05;1.57;0.00
62;468379014259;-9.72;-0.20;0.19;1.55;0.00
63;468399094825;-9.68;-0.09;-0.11;1.58;0.00
64;468419114356;-9.67;-0.10;0.26;1.54;0.00
65;468439164405;-9.72;-0.09;0.11;1.56;0.00
66;468459214454;-9.65;-0.14;-0.00;1.57;0.00
67;468479264503;-9.66;-0.15;0.14;1.56;0.00
68;468499284034;-9.70;-0.06;-0.01;1.57;0.00
69;468519364600;-9.65;-0.18;0.24;1.55;0.00
70;468539384132;-9.76;-0.04;0.20;1.55;0.00
71;468559373145;-9.71;-0.05;-0.03;1.57;0.00
72;468579423194;-9.65;-0.19;0.19;1.55;0.00
73;468599473243;-9.74;-0.04;0.12;1.56;0.00
74;468619492774;-9.71;-0.11;0.08;1.56;0.00
75;468639512305;-9.73;-0.30;0.33;1.54;0.00
76;468659592872;-9.68;-0.04;0.29;1.54;0.00
77;468699662452;-9.62;0.18;0.72;1.50;0.00
78;468719743018;-9.69;-0.07;0.23;1.55;0.00
79;468739762550;-9.66;-0.24;-0.07;1.58;0.00
80;468759812598;-9.70;-0.56;-0.28;1.60;0.00
81;468779862647;-9.67;-0.16;-0.19;1.59;0.00
82;468799882178;-9.71;0.01;-0.03;1.57;0.00
83;468819962745;-9.67;0.14;0.35;1.53;0.00
84;468839982276;-9.77;0.17;0.00;1.57;0.00
85;468860032325;-9.74;-0.55;-0.37;1.61;0.00
86;468880051856;-9.80;-0.28;-1.73;1.75;0.00
87;468900071387;-9.69;-0.37;-0.45;1.62;0.00
88;468920060401;-9.68;0.35;0.32;1.54;0.00
89;468940140967;-9.91;0.02;-0.53;1.62;0.00
90;468960160499;-9.58;-0.19;-0.28;1.60;0.00
91;468980180030;-9.81;-0.02;-0.85;1.66;0.00
92;469000199561;-9.74;0.23;-0.75;1.65;0.00
93;469020219092;-9.70;-0.28;-0.27;1.60;0.00
94;469040238624;-9.73;0.18;-0.40;1.61;0.00
95;469060319190;-9.65;-0.19;-0.16;1.59;0.00
96;469080338721;-9.69;-0.28;-0.28;1.60;0.00
97;469100358253;-9.75;-0.10;-0.33;1.60;0.00
98;469120377784;-9.70;-0.01;-0.07;1.58;0.00
99;469140397315;-9.69;-0.25;-0.16;1.59;0.00
100;469160416846;-9.72;-0.01;-0.25;1.60;0.00
101;469200486426;-9.69;-0.12;-0.27;1.60;0.00
102;469220505958;-9.69;-0.05;-0.43;1.62;0.00
103;469240525489;-9.65;0.01;-0.34;1.61;0.00
104;469260545020;-9.69;-0.11;-0.17;1.59;0.00
105;469300614600;-9.71;-0.15;-0.19;1.59;0.00
106;469320634132;-9.69;-0.16;-0.25;1.60;0.00
107;469340653663;-9.70;-0.09;-0.26;1.60;0.00
108;469380723243;-9.69;-0.09;-0.24;1.60;0.00
109;469400803809;-9.70;-0.05;-0.23;1.59;0.00
110;469420853858;-9.74;-0.12;-0.18;1.59;0.00
111;469440873389;-9.73;-0.11;-0.24;1.60;0.00
112;469480942969;-9.68;0.01;-0.02;1.57;0.00
113;469500962501;-9.85;0.94;1.84;1.39;0.00
114;469541062598;-9.96;0.06;0.23;1.55;0.00
