id;time;xs;ys;zs;ac;kurt
1;645946176651;-9.74;-0.34;-0.10;1.58;0.00
2;646086282852;-9.76;0.08;-0.17;1.59;0.00
3;646126321915;-9.70;-0.18;0.05;1.57;0.00
4;646146341446;-9.62;3.76;2.80;1.31;0.00
5;646166391495;-9.84;0.80;-0.56;1.63;0.00
6;646186472061;-9.26;2.42;3.68;1.20;0.00
7;646206522110;-9.76;-2.35;-6.34;2.13;0.00
8;646246561173;-9.28;1.50;-0.62;1.64;0.00
9;646266611222;-10.62;-1.82;-2.41;1.79;0.00
10;646286661270;-9.86;-1.37;-0.40;1.61;0.00
11;646306711319;-9.09;1.44;0.97;1.47;0.00
12;646326730850;-9.70;1.01;0.66;1.50;0.00
13;646346811417;-9.90;-0.97;0.77;1.49;0.00
14;646366861466;-9.72;1.87;1.24;1.45;0.00
15;646386942032;-9.97;-0.68;-0.76;1.65;0.00
16;646406992081;-9.61;0.83;0.28;1.54;0.00
17;646447092179;-9.61;-0.03;-0.35;1.61;0.00
18;646487192276;-9.58;-0.48;-0.89;1.66;0.00
19;646527292374;-9.35;-2.09;-1.03;1.68;0.00
20;646547342423;-9.27;-1.38;-1.39;1.72;0.00
21;646567392472;-9.56;-1.80;-2.40;1.81;0.00
22;646587473038;-9.38;-1.98;-1.81;1.76;0.00
23;646607523087;-9.49;-2.70;-1.85;1.76;0.00
24;646627542618;-9.72;-3.03;-2.56;1.82;0.00
25;646647562149;-9.36;-3.26;-2.44;1.81;0.00
26;646667581681;-9.77;-2.50;-3.07;1.87;0.00
27;646707651261;-9.67;-1.15;-1.08;1.68;0.00
28;646727670792;-9.46;-0.80;-0.90;1.67;0.00
29;646747720841;-9.50;0.03;-0.87;1.66;0.00
30;646767740372;-9.31;-1.90;-1.19;1.70;0.00
31;646787790421;-9.56;-2.81;-1.95;1.76;0.00
32;646807840470;-9.48;-2.60;-1.59;1.73;0.00
33;646827890518;-9.46;-0.61;-1.80;1.76;0.00
34;646847910050;-9.47;-0.25;-0.89;1.66;0.00
35;646867960099;-9.53;-1.77;-1.93;1.77;0.00
36;646888010147;-9.36;-2.03;-1.02;1.68;0.00
37;646908060196;-9.42;-1.95;-2.22;1.80;0.00
38;646928079727;-9.65;-2.39;-4.89;2.03;0.00
39;646948099259;-9.57;-3.15;-0.56;1.63;0.00
40;646968118790;-9.48;-4.03;-1.58;1.72;0.00
41;646988138321;-9.57;-3.25;-2.61;1.82;0.00
42;647008188370;-9.05;-1.37;-0.44;1.62;0.00
43;647028207901;-9.45;1.26;-1.38;1.71;0.00
44;647048227432;-9.51;3.76;-0.58;1.63;0.00
45;647068277481;-10.07;-7.25;-5.02;1.96;0.00
46;647088297013;-9.08;0.26;1.24;1.44;0.00
47;647108347061;-8.69;-1.02;-1.66;1.76;0.00
48;647128366593;-9.45;-1.50;-1.41;1.72;0.00
49;647148416641;-9.64;-1.87;-1.44;1.72;0.00
50;647168436173;-9.62;-1.72;-1.50;1.72;0.00
51;647188486222;-9.21;-1.20;-1.71;1.75;0.00
52;647208536270;-9.50;-2.04;-1.56;1.73;0.00
53;647228586319;-9.60;-0.59;-0.83;1.66;0.00
54;647248605850;-9.48;0.58;0.23;1.55;0.00
55;647268655899;-9.59;-0.04;-0.14;1.59;0.00
56;647288736466;-9.57;-0.56;0.13;1.56;0.00
57;647308786515;-9.64;0.01;-0.34;1.61;0.00
58;647328806046;-9.64;0.57;-0.40;1.61;0.00
59;647348856095;-9.74;-0.07;0.49;1.52;0.00
60;647368875626;-9.51;1.15;1.37;1.43;0.00
61;647408975724;-9.56;1.96;2.42;1.33;0.00
62;647429025772;-9.68;2.82;3.29;1.26;0.00
63;647449106339;-9.57;1.47;1.57;1.41;0.00
64;647469156388;-9.54;2.74;1.59;1.41;0.00
65;647489206436;-9.70;0.54;-0.04;1.57;0.00
66;647509225968;-9.77;-0.91;-0.36;1.61;0.00
67;647529306534;-9.60;-1.07;0.03;1.57;0.00
68;647549326065;-9.99;-0.72;-0.82;1.65;0.00
69;647569345597;-9.94;1.64;2.35;1.34;0.00
70;647589426163;-9.71;2.24;-0.60;1.63;0.00
71;647609445694;-9.58;0.61;1.70;1.40;0.00
72;647629465225;-9.44;0.40;-0.12;1.58;0.00
73;647649545792;-9.83;1.37;2.69;1.31;0.00
74;647669565323;-9.69;1.06;1.21;1.45;0.00
75;647689584854;-9.62;1.08;0.73;1.50;0.00
76;647709604386;-9.22;-1.30;-1.40;1.72;0.00
77;647729623917;-9.44;-2.04;-1.13;1.69;0.00
78;647749643448;-9.95;0.30;-0.51;1.62;0.00
79;647769662979;-9.76;-0.38;-0.42;1.61;0.00
80;647789713028;-9.48;0.28;0.51;1.52;0.00
81;647809763077;-9.65;1.57;1.56;1.41;0.00
82;647829782608;-9.97;1.10;0.96;1.48;0.00
83;647849802140;-9.89;-0.48;-0.85;1.66;0.00
84;647869821671;-9.73;-0.84;-1.14;1.69;0.00
85;647889841202;-9.68;0.66;0.02;1.57;0.00
86;647909921768;-9.65;1.54;1.12;1.46;0.00
87;647929941300;-9.59;-0.03;1.30;1.44;0.00
88;647949991349;-9.76;-1.01;-0.79;1.65;0.00
89;647970010880;-9.92;-0.73;-0.46;1.62;0.00
90;647990030411;-9.59;0.54;0.90;1.48;0.00
91;648010080460;-9.63;0.31;0.11;1.56;0.00
92;648030099991;-9.60;-1.18;0.57;1.51;0.00
93;648050119522;-9.62;-0.70;-1.01;1.68;0.00
94;648070139054;-9.61;0.50;-0.58;1.63;0.00
95;648090158585;-9.42;1.24;-0.82;1.66;0.00
96;648110178116;-9.66;1.59;-0.22;1.59;0.00
97;648130197647;-9.58;-1.63;1.13;1.46;0.00
98;648150217179;-9.45;-1.64;0.89;1.48;0.00
99;648170236710;-9.62;-0.12;0.57;1.51;0.00
100;648190286759;-9.69;0.34;-1.74;1.75;0.00
101;648210306290;-9.76;1.11;-0.56;1.63;0.00
102;648230356339;-9.43;2.76;4.47;1.14;0.00
103;648250406388;-9.65;0.40;1.06;1.46;0.00
104;648270425919;-9.62;2.04;2.37;1.33;0.00
105;648290445450;-9.65;0.58;-2.06;1.78;0.00
106;648310495499;-9.59;-0.47;0.54;1.51;0.00
107;648330576065;-9.62;-0.40;-0.71;1.64;0.00
108;648350595597;-9.68;-0.27;4.32;1.15;0.00
109;648370645645;-9.66;-0.57;1.61;1.41;0.00
110;648390695694;-9.75;3.65;-0.51;1.62;0.00
111;648410715225;-9.84;1.64;-0.08;1.58;0.00
112;648450815323;-10.00;0.28;3.85;1.20;0.00
113;648470834854;-10.17;-1.55;-2.92;1.85;0.00
114;648510904434;-9.55;0.25;-0.52;1.63;0.00
115;648550974015;-9.66;-1.52;-0.07;1.58;0.00
116;648571054581;-9.28;-1.35;1.00;1.46;0.00
117;648611093643;-9.51;1.61;0.39;1.53;0.00
118;648631174210;-9.67;2.55;-1.35;1.70;0.00
119;648671243790;-9.81;-0.51;1.01;1.47;0.00
120;648691293839;-9.68;-0.58;-1.06;1.68;0.00
121;648711313370;-9.75;-4.09;-1.28;1.69;0.00
122;648731332901;-9.74;0.13;-1.13;1.69;0.00
123;648751413468;-9.69;-0.22;-0.37;1.61;0.00
124;648771432999;-9.63;1.57;-0.00;1.57;0.00
125;648791513565;-9.63;-1.21;1.36;1.43;0.00
