id;time;xs;ys;zs;ac;kurt
1;66176803595646;-9.73;-0.36;-1.29;1.70;0.00
2;66177084021672;-9.65;-0.15;0.58;1.51;0.00
3;66177124121769;-10.24;-1.46;1.28;1.45;0.00
4;66177144141301;-9.09;2.93;-0.59;1.63;0.00
5;66177184241398;-10.31;-2.99;-0.23;1.59;0.00
6;66177224341496;-9.30;1.02;-0.72;1.65;0.00
7;66177284430607;-9.71;0.28;0.57;1.51;0.00
8;66177324530705;-8.82;-2.94;-0.12;1.58;0.00
9;66177364569767;-9.38;1.98;-0.40;1.61;0.00
10;66177404700383;-9.15;-4.18;-1.43;1.71;0.00
11;66177444739445;-9.86;-0.23;0.76;1.49;0.00
12;66177484809025;-9.30;-2.27;1.53;1.41;0.00
13;66177544898137;-9.61;1.01;0.44;1.53;0.00
14;66177604987248;-9.51;1.86;-1.37;1.71;0.00
15;66177645056828;-9.62;-0.12;-0.56;1.63;0.00
16;66177705115422;-9.50;1.14;0.88;1.48;0.00
17;66177745185002;-9.56;-0.68;0.38;1.53;0.00
18;66177785254582;-9.77;-1.29;0.02;1.57;0.00
19;66177805274113;-9.72;-0.48;-0.51;1.62;0.00
20;66177885352238;-9.77;-0.47;-0.30;1.60;0.00
21;66177945441349;-9.72;-0.51;-0.23;1.59;0.00
22;66178025458439;-9.63;-0.60;-0.17;1.59;0.00
23;66178065528019;-9.65;-0.45;-0.45;1.62;0.00
24;66178105597599;-9.72;0.36;-0.37;1.61;0.00
25;66178145636662;-9.72;-0.52;-0.27;1.60;0.00
26;66178165686711;-9.68;-0.56;-0.11;1.58;0.00
27;66178205725773;-9.63;0.16;0.23;1.55;0.00
28;66178265784367;-9.79;0.25;-2.38;1.81;0.00
29;66178285834416;-10.65;-1.05;-3.86;1.92;0.00
30;66178325873478;-9.71;-1.38;-0.78;1.65;0.00
31;66178365943058;-9.74;0.32;-0.48;1.62;0.00
32;66178426001652;-9.68;-1.13;2.32;1.34;0.00
33;66178446051701;-9.56;-1.34;0.42;1.53;0.00
34;66178466101750;-10.02;0.10;-0.87;1.66;0.00
35;66178486121281;-9.68;1.91;0.56;1.51;0.00
36;66178526190861;-9.71;-0.89;0.91;1.48;0.00
37;66178546210392;-9.72;-0.49;-0.43;1.61;0.00
38;66178566290959;-9.77;-0.36;-0.69;1.64;0.00
39;66178586310490;-9.69;0.46;-0.11;1.58;0.00
40;66178626380070;-9.72;-0.41;-0.45;1.62;0.00
41;66178646369084;-9.64;-0.42;-0.85;1.66;0.00
42;66178666419133;-9.76;-0.46;-0.29;1.60;0.00
43;66178686438664;-9.72;-0.26;0.43;1.53;0.00
44;66178726508244;-9.68;-0.34;0.10;1.56;0.00
45;66178746497258;-9.68;-0.18;-0.02;1.57;0.00
46;66178766547306;-9.70;0.01;0.17;1.55;0.00
47;66178806555851;-9.67;-0.45;0.48;1.52;0.00
48;66178826605900;-9.68;0.06;-0.17;1.59;0.00
49;66178846625431;-9.75;0.08;-0.61;1.63;0.00
50;66178866644963;-9.75;-0.36;-0.14;1.59;0.00
51;66178906684025;-9.73;-0.51;-0.36;1.61;0.00
52;66178926703556;-9.76;-0.42;0.08;1.56;0.00
53;66178946662053;-9.72;0.31;0.45;1.52;0.00
54;66178966712101;-9.63;-0.10;-0.56;1.63;0.00
55;66178986762150;-9.72;-0.10;0.11;1.56;0.00
56;66179006781681;-9.83;-0.61;0.22;1.55;0.00
57;66179026801213;-9.72;-0.81;-0.07;1.58;0.00
58;66179046790226;-9.61;0.74;0.36;1.53;0.00
59;66179066809758;-9.71;1.13;-0.14;1.59;0.00
60;66179086890324;-9.70;-0.49;0.24;1.55;0.00
61;66179106940373;-11.11;-2.70;-4.31;1.93;0.00
62;66179126959904;-9.72;-0.39;-0.63;1.64;0.00
63;66179146979435;-9.75;-0.38;-0.17;1.59;0.00
64;66179166998967;-9.74;0.34;0.31;1.54;0.00
65;66179187018498;-9.80;0.31;-0.95;1.67;0.00
66;66179207099064;-9.71;-0.14;-0.47;1.62;0.00
67;66179227118596;-9.73;0.03;-1.29;1.70;0.00
68;66179247168644;-9.69;-0.50;-0.56;1.63;0.00
69;66179267188176;-9.71;-0.56;-0.15;1.59;0.00
70;66179287207707;-9.71;-0.56;-0.13;1.58;0.00
71;66179307257756;-9.68;0.30;-0.17;1.59;0.00
72;66179327277287;-9.70;0.06;-0.45;1.62;0.00
73;66179347296818;-9.76;-0.20;-0.44;1.62;0.00
74;66179367316349;-9.67;-0.03;0.40;1.53;0.00
75;66179387366398;-9.75;-0.60;1.73;1.40;0.00
76;66179407385929;-9.70;-0.47;0.32;1.54;0.00
77;66179427435978;-9.69;0.19;-0.46;1.62;0.00
78;66179447455510;-9.64;0.12;0.41;1.53;0.00
79;66179467536076;-9.73;-0.28;0.18;1.55;0.00
80;66179487586125;-9.70;-0.45;0.04;1.57;0.00
81;66179507605656;-9.65;-0.25;-0.25;1.60;0.00
82;66179527686222;-9.66;0.13;-0.05;1.58;0.00
83;66179547705754;-9.71;-0.23;-0.08;1.58;0.00
84;66179567725285;-9.71;-0.41;-0.09;1.58;0.00
85;66179587775334;-9.67;-0.40;-0.11;1.58;0.00
86;66179607794865;-10.07;-0.03;0.85;1.49;0.00
87;66179627814396;-9.67;0.13;-0.17;1.59;0.00
88;66179647864445;-9.80;0.10;-0.54;1.63;0.00
89;66179667883976;-9.73;-0.40;-0.54;1.63;0.00
90;66179687934025;-9.67;-0.53;-0.23;1.59;0.00
91;66179728003605;-9.73;0.13;0.01;1.57;0.00
92;66179768042668;-9.76;-0.20;0.10;1.56;0.00
93;66179788031681;-9.75;-0.53;-0.06;1.58;0.00
94;66179808020695;-9.67;-0.42;0.51;1.52;0.00
95;66179848059758;-9.64;0.04;-0.22;1.59;0.00
96;66179868079289;-9.69;-0.29;-0.26;1.60;0.00
97;66179888129338;-9.68;-0.54;-0.11;1.58;0.00
98;66179908148869;-9.70;-0.21;0.14;1.56;0.00
99;66179928198918;-9.71;0.16;-0.06;1.58;0.00
100;66179948279484;-9.70;-0.05;-0.07;1.58;0.00
101;66179968299015;-9.68;-0.32;-0.09;1.58;0.00
102;66179988318547;-9.69;-0.47;-0.08;1.58;0.00
103;66180008307560;-9.72;-0.03;-0.05;1.58;0.00
104;66180028357609;-9.70;0.05;-0.07;1.58;0.00
105;66180048377140;-9.68;-0.22;0.03;1.57;0.00
106;66180068366154;-9.71;-0.37;-0.13;1.58;0.00
107;66180088446721;-9.70;-0.33;-0.13;1.58;0.00
108;66180108496769;-9.72;-0.03;-0.10;1.58;0.00
109;66180128546818;-9.65;-0.14;-0.02;1.57;0.00
110;66180148566349;-9.72;-0.27;-0.05;1.58;0.00
111;66180168616398;-9.70;-0.35;-0.14;1.59;0.00
112;66180188666447;-9.67;-0.15;-0.14;1.59;0.00
113;66180208685978;-9.68;-0.14;-0.08;1.58;0.00
114;66180228705510;-9.67;-0.19;-0.03;1.57;0.00
115;66180248755558;-9.67;-0.44;-0.04;1.57;0.00
116;66180268775090;-9.71;-0.44;0.14;1.56;0.00
117;66180288825138;-9.70;-0.29;0.65;1.50;0.00
118;66180328925236;-9.71;-0.45;-0.63;1.64;0.00
119;66180368994816;-9.70;1.13;-0.75;1.65;0.00
