id;time;xs;ys;zs;ac;kurt
1;63647752716734;-9.67;-0.25;-0.22;1.59;0.00
2;63647912872984;-9.73;-0.58;0.13;1.56;0.00
3;63647952912046;-9.65;0.00;-0.14;1.59;0.00
4;63647972931577;-9.73;-0.30;-0.20;1.59;0.00
5;63647992981626;-9.62;-0.69;0.25;1.54;0.00
6;63648013001157;-9.65;-0.42;0.13;1.56;0.00
7;63648033020689;-9.66;-0.18;-0.28;1.60;0.00
8;63648053040220;-9.70;-0.14;-0.08;1.58;0.00
9;63648073029234;-9.69;-0.45;0.13;1.56;0.00
10;63648093048765;-9.71;-0.57;0.02;1.57;0.00
11;63648133087827;-9.71;-0.14;-0.03;1.57;0.00
12;63648153076841;-9.73;-0.33;-0.08;1.58;0.00
13;63648173157407;-9.72;-0.44;0.06;1.56;0.00
14;63648213196470;-9.67;-0.22;-0.13;1.58;0.00
15;63648233216001;-9.78;-0.67;0.40;1.53;0.00
16;63648273255064;-9.75;-1.13;0.99;1.47;0.00
17;63648293274595;-9.77;-0.47;0.17;1.55;0.00
18;63648313294126;-9.63;-0.47;-0.23;1.59;0.00
19;63648333313657;-9.64;1.70;-0.39;1.61;0.00
20;63648353333189;-9.65;0.80;-1.16;1.69;0.00
21;63648373352720;-9.73;-1.27;-0.88;1.66;0.00
22;63648393372251;-9.60;-1.51;0.19;1.55;0.00
23;63648413391782;-9.81;1.53;-1.06;1.68;0.00
24;63648433411314;-9.68;0.97;0.18;1.55;0.00
25;63648453400327;-9.64;0.90;-0.86;1.66;0.00
26;63648473450376;-9.62;-0.13;-0.20;1.59;0.00
27;63648493469907;-9.65;-0.74;-0.23;1.59;0.00
28;63648513489439;-9.84;-1.85;-0.48;1.62;0.00
29;63648533539487;-9.50;2.89;-0.50;1.62;0.00
30;63648553559019;-9.60;1.22;0.38;1.53;0.00
31;63648573578550;-9.75;-1.91;0.05;1.57;0.00
32;63648593598081;-9.77;1.35;-0.13;1.58;0.00
33;63648613617612;-9.80;0.07;0.07;1.56;0.00
34;63648633637144;-9.67;2.17;0.18;1.55;0.00
35;63648653687193;-9.72;0.17;0.06;1.56;0.00
36;63648673706724;-9.72;-0.36;-0.03;1.57;0.00
37;63648693726255;-9.66;-0.87;-0.13;1.58;0.00
38;63648713776304;-9.69;-0.62;-0.29;1.60;0.00
39;63648733795835;-9.68;0.50;-0.58;1.63;0.00
40;63648753845884;-9.69;-1.03;-0.46;1.62;0.00
41;63648773895933;-9.73;-0.23;-0.67;1.64;0.00
42;63648793884946;-9.71;-0.84;-0.49;1.62;0.00
43;63648813904478;-9.79;0.23;-0.23;1.59;0.00
44;63648833924009;-9.47;1.04;0.03;1.57;0.00
45;63648853974058;-9.74;-1.02;0.57;1.51;0.00
46;63648894013120;-9.66;-0.50;-0.49;1.62;0.00
47;63648914002134;-9.70;0.64;-0.02;1.57;0.00
48;63648934021665;-9.68;-0.13;0.09;1.56;0.00
49;63648954102232;-9.75;-0.37;-0.03;1.57;0.00
50;63648974121763;-9.62;-0.06;-0.01;1.57;0.00
51;63648994141294;-9.67;0.06;-0.01;1.57;0.00
52;63649014160825;-9.67;0.05;-0.19;1.59;0.00
53;63649034180357;-9.66;-0.14;0.04;1.57;0.00
54;63649054230405;-9.66;-0.34;-0.03;1.57;0.00
55;63649074249937;-9.72;-0.11;0.19;1.55;0.00
56;63649094269468;-9.65;0.05;0.33;1.54;0.00
57;63649114288999;-9.62;0.14;1.79;1.39;0.00
58;63649134308530;-9.71;0.11;0.89;1.48;0.00
59;63649154328062;-9.71;-0.10;-0.66;1.64;0.00
60;63649174347593;-9.67;-0.54;-0.17;1.59;0.00
61;63649194367124;-9.69;-0.15;-0.26;1.60;0.00
62;63649214417173;-9.73;0.03;-0.09;1.58;0.00
63;63649234406187;-9.69;0.05;1.00;1.47;0.00
64;63649274475767;-9.64;-0.12;-0.33;1.61;0.00
65;63649294495298;-9.69;-0.24;-0.55;1.63;0.00
66;63649314545347;-9.68;-0.34;-0.21;1.59;0.00
67;63649334595396;-9.72;0.20;0.15;1.56;0.00
68;63649354614927;-9.62;-0.20;0.51;1.52;0.00
69;63649374634458;-9.66;-0.01;0.74;1.49;0.00
70;63649394653989;-9.66;0.20;0.53;1.52;0.00
71;63649414704038;-9.70;0.00;0.12;1.56;0.00
72;63649434723569;-9.71;-0.38;-0.05;1.58;0.00
73;63649454712583;-9.68;-0.55;0.21;1.55;0.00
74;63649474762632;-9.72;0.09;0.26;1.54;0.00
75;63649494782163;-9.67;0.02;0.04;1.57;0.00
76;63649514801694;-9.73;-0.32;0.44;1.53;0.00
77;63649534821226;-9.69;-0.04;0.26;1.54;0.00
78;63649554871275;-9.65;0.22;0.17;1.55;0.00
79;63649574890806;-9.65;-0.24;0.40;1.53;0.00
80;63649594910337;-9.65;-0.51;0.33;1.54;0.00
81;63649614960386;-9.67;0.01;0.76;1.49;0.00
82;63649654999448;-9.66;0.16;0.13;1.56;0.00
83;63649675018980;-9.66;0.02;-0.10;1.58;0.00
84;63649695038511;-9.65;-0.28;0.30;1.54;0.00
85;63649715058042;-9.67;-0.09;0.28;1.54;0.00
86;63649735077573;-9.69;-0.08;0.16;1.55;0.00
87;63649755097105;-9.70;0.02;0.38;1.53;0.00
88;63649775147153;-9.64;-0.31;-0.17;1.59;0.00
89;63649795166685;-9.74;0.07;-2.80;1.85;0.00
90;63649815186216;-9.70;0.08;-0.85;1.66;0.00
91;63649835205747;-9.53;-1.40;-1.64;1.74;0.00
92;63649855255796;-9.64;0.35;1.41;1.43;0.00
93;63649875275327;-9.70;0.02;0.86;1.48;0.00
94;63649895294859;-9.67;0.17;-0.73;1.65;0.00
95;63649915344907;-9.64;0.32;-1.10;1.68;0.00
96;63649935394956;-9.65;-0.74;0.31;1.54;0.00
97;63649955414487;-9.65;-0.65;0.62;1.51;0.00
98;63649975434019;-9.64;0.85;-0.18;1.59;0.00
99;63649995453550;-9.66;-0.04;-0.46;1.62;0.00
100;63650015473081;-9.71;-0.42;-0.36;1.61;0.00
101;63650035492612;-9.72;-0.74;-0.37;1.61;0.00
102;63650055512144;-9.66;-0.17;-0.35;1.61;0.00
103;63650075531675;-9.68;0.11;-0.19;1.59;0.00
104;63650095581724;-9.70;-0.05;0.01;1.57;0.00
105;63650115601255;-9.70;-0.24;0.23;1.55;0.00
106;63650135651304;-9.67;-0.29;0.21;1.55;0.00
107;63650155640318;-9.72;-0.11;0.08;1.56;0.00
108;63650175690366;-9.66;-0.16;0.02;1.57;0.00
109;63650195709898;-9.71;-0.15;0.01;1.57;0.00
110;63650215759946;-9.66;-0.11;0.06;1.56;0.00
111;63650235779478;-9.67;-0.21;0.07;1.56;0.00
112;63650255829527;-9.73;-0.12;-0.02;1.57;0.00
113;63650275818540;-9.69;-0.16;-0.03;1.57;0.00
114;63650295868589;-9.64;-0.17;-0.01;1.57;0.00
115;63650315918638;-9.77;-0.23;-0.21;1.59;0.00
116;63650335938169;-9.74;-0.06;-0.28;1.60;0.00
117;63650355957700;-9.69;-0.31;-0.27;1.60;0.00
118;63650375977232;-9.70;-0.19;-0.13;1.58;0.00
119;63650395996763;-9.69;-0.01;-0.02;1.57;0.00
120;63650416016294;-9.64;-0.09;0.08;1.56;0.00
121;63650436035825;-9.66;-0.27;0.14;1.56;0.00
122;63650456024839;-9.71;-0.16;0.19;1.55;0.00
123;63650476074888;-9.64;0.00;0.38;1.53;0.00
124;63650496094419;-9.68;-0.05;0.45;1.52;0.00
125;63650516144468;-9.72;0.05;0.49;1.52;0.00
126;63650536133482;-9.71;-0.08;0.47;1.52;0.00
127;63650556183530;-9.72;0.02;-0.28;1.60;0.00
128;63650576172544;-9.70;-0.55;0.02;1.57;0.00
129;63650596222593;-9.72;0.00;0.26;1.54;0.00
130;63650616242124;-9.71;0.11;0.34;1.54;0.00
